timestamp,station_id,road,lga,volume_light,volume_heavy,max_temp,rainfall,hour_of_day,day_of_week,is_weekend,month,public_holiday,school_holiday,co2_estimate,max_temp_imputed,rainfall_imputed
2024-01-01 00:00:00,7272,Edgar Street,Bankstown,169.0,8.0,25.3,3.0,0,Monday,False,1,0,0,50.597260000000006,False,False
2024-01-01 01:00:00,7272,Edgar Street,Bankstown,144.0,7.0,25.3,3.0,1,Monday,False,1,0,0,43.25216,False,False
2024-01-01 02:00:00,7272,Edgar Street,Bankstown,93.0,7.0,25.3,3.0,2,Monday,False,1,0,0,29.82182,False,False
2024-01-01 03:00:00,7272,Edgar Street,Bankstown,56.0,6.0,25.3,3.0,3,Monday,False,1,0,0,19.316640000000003,False,False
2024-01-01 04:00:00,7272,Edgar Street,Bankstown,51.0,4.0,25.3,3.0,4,Monday,False,1,0,0,16.476740000000003,False,False
2024-01-01 05:00:00,7272,Edgar Street,Bankstown,44.0,5.0,25.3,3.0,5,Monday,False,1,0,0,15.39496,False,False
2024-01-01 06:00:00,7272,Edgar Street,Bankstown,50.0,4.0,25.3,3.0,6,Monday,False,1,0,0,16.213400000000004,False,False
2024-01-01 07:00:00,7272,Edgar Street,Bankstown,39.0,4.0,25.3,3.0,7,Monday,False,1,0,0,13.31666,False,False
2024-01-01 08:00:00,7272,Edgar Street,Bankstown,50.0,8.0,25.3,3.0,8,Monday,False,1,0,0,19.2598,False,False
2024-01-01 09:00:00,7272,Edgar Street,Bankstown,72.0,5.0,25.3,3.0,9,Monday,False,1,0,0,22.76848,False,False
2024-01-01 10:00:00,7272,Edgar Street,Bankstown,114.0,10.0,25.3,3.0,10,Monday,False,1,0,0,37.63676,False,False
2024-01-01 11:00:00,7272,Edgar Street,Bankstown,154.0,9.0,25.3,3.0,11,Monday,False,1,0,0,47.40876,False,False
2024-01-01 12:00:00,7272,Edgar Street,Bankstown,154.0,7.0,25.3,3.0,12,Monday,False,1,0,0,45.885560000000005,False,False
2024-01-01 13:00:00,7272,Edgar Street,Bankstown,154.0,6.0,25.3,3.0,13,Monday,False,1,0,0,45.12396,False,False
2024-01-01 14:00:00,7272,Edgar Street,Bankstown,164.0,15.0,25.3,3.0,14,Monday,False,1,0,0,54.61176,False,False
2024-01-01 15:00:00,7272,Edgar Street,Bankstown,142.0,13.0,25.3,3.0,15,Monday,False,1,0,0,47.29508,False,False
2024-01-01 16:00:00,7272,Edgar Street,Bankstown,155.0,10.0,25.3,3.0,16,Monday,False,1,0,0,48.4337,False,False
2024-01-01 17:00:00,7272,Edgar Street,Bankstown,149.0,5.0,25.3,3.0,17,Monday,False,1,0,0,43.045660000000005,False,False
2024-01-01 18:00:00,7272,Edgar Street,Bankstown,141.0,9.0,25.3,3.0,18,Monday,False,1,0,0,43.98534000000001,False,False
2024-01-01 19:00:00,7272,Edgar Street,Bankstown,161.0,6.0,25.3,3.0,19,Monday,False,1,0,0,46.96734,False,False
2024-01-01 20:00:00,7272,Edgar Street,Bankstown,171.0,6.0,25.3,3.0,20,Monday,False,1,0,0,49.60074,False,False
2024-01-01 21:00:00,7272,Edgar Street,Bankstown,152.0,13.0,25.3,3.0,21,Monday,False,1,0,0,49.92848,False,False
2024-01-01 22:00:00,7272,Edgar Street,Bankstown,131.0,10.0,25.3,3.0,22,Monday,False,1,0,0,42.11354,False,False
2024-01-01 23:00:00,7272,Edgar Street,Bankstown,107.0,9.0,25.3,3.0,23,Monday,False,1,0,0,35.031780000000005,False,False
2024-01-02 00:00:00,7272,Edgar Street,Bankstown,59.0,6.0,28.9,0.0,0,Tuesday,False,1,0,0,20.10666,False,False
2024-01-02 01:00:00,7272,Edgar Street,Bankstown,48.0,4.0,28.9,0.0,1,Tuesday,False,1,0,0,15.68672,False,False
2024-01-02 02:00:00,7272,Edgar Street,Bankstown,18.0,2.0,28.9,0.0,2,Tuesday,False,1,0,0,6.26332,False,False
2024-01-02 03:00:00,7272,Edgar Street,Bankstown,23.0,7.0,28.9,0.0,3,Tuesday,False,1,0,0,11.38802,False,False
2024-01-02 04:00:00,7272,Edgar Street,Bankstown,42.0,6.0,28.9,0.0,4,Tuesday,False,1,0,0,15.62988,False,False
2024-01-02 05:00:00,7272,Edgar Street,Bankstown,77.0,10.0,28.9,0.0,5,Tuesday,False,1,0,0,27.89318,False,False
2024-01-02 06:00:00,7272,Edgar Street,Bankstown,121.0,28.0,28.9,0.0,6,Tuesday,False,1,0,0,53.18894,False,False
2024-01-02 07:00:00,7272,Edgar Street,Bankstown,132.0,31.0,28.9,0.0,7,Tuesday,False,1,0,0,58.37048000000001,False,False
2024-01-02 08:00:00,7272,Edgar Street,Bankstown,149.0,25.0,28.9,0.0,8,Tuesday,False,1,0,0,58.27766000000001,False,False
2024-01-02 09:00:00,7272,Edgar Street,Bankstown,124.0,21.0,28.9,0.0,9,Tuesday,False,1,0,0,48.647760000000005,False,False
2024-01-02 10:00:00,7272,Edgar Street,Bankstown,163.0,29.0,28.9,0.0,10,Tuesday,False,1,0,0,65.01082000000001,False,False
2024-01-02 11:00:00,7272,Edgar Street,Bankstown,137.0,23.0,28.9,0.0,11,Tuesday,False,1,0,0,53.59438000000001,False,False
2024-01-02 12:00:00,7272,Edgar Street,Bankstown,175.0,25.0,28.9,0.0,12,Tuesday,False,1,0,0,65.1245,False,False
2024-01-02 13:00:00,7272,Edgar Street,Bankstown,158.0,24.0,28.9,0.0,13,Tuesday,False,1,0,0,59.886120000000005,False,False
2024-01-02 14:00:00,7272,Edgar Street,Bankstown,174.0,23.0,28.9,0.0,14,Tuesday,False,1,0,0,63.33796000000001,False,False
2024-01-02 15:00:00,7272,Edgar Street,Bankstown,162.0,18.0,28.9,0.0,15,Tuesday,False,1,0,0,56.36988,False,False
2024-01-02 16:00:00,7272,Edgar Street,Bankstown,155.0,15.0,28.9,0.0,16,Tuesday,False,1,0,0,52.2417,False,False
2024-01-02 17:00:00,7272,Edgar Street,Bankstown,152.0,11.0,28.9,0.0,17,Tuesday,False,1,0,0,48.40528,False,False
2024-01-02 18:00:00,7272,Edgar Street,Bankstown,139.0,12.0,28.9,0.0,18,Tuesday,False,1,0,0,45.743460000000006,False,False
2024-01-02 19:00:00,7272,Edgar Street,Bankstown,151.0,13.0,28.9,0.0,19,Tuesday,False,1,0,0,49.66514000000001,False,False
2024-01-02 20:00:00,7272,Edgar Street,Bankstown,142.0,10.0,28.9,0.0,20,Tuesday,False,1,0,0,45.01028,False,False
2024-01-02 21:00:00,7272,Edgar Street,Bankstown,165.0,11.0,28.9,0.0,21,Tuesday,False,1,0,0,51.828700000000005,False,False
2024-01-02 22:00:00,7272,Edgar Street,Bankstown,133.0,12.0,28.9,0.0,22,Tuesday,False,1,0,0,44.16342,False,False
2024-01-02 23:00:00,7272,Edgar Street,Bankstown,112.0,17.0,28.9,0.0,23,Tuesday,False,1,0,0,42.441280000000006,False,False
2024-01-03 00:00:00,7272,Edgar Street,Bankstown,81.0,3.0,30.0,0.0,0,Wednesday,False,1,0,0,23.61534,False,False
2024-01-03 01:00:00,7272,Edgar Street,Bankstown,41.0,2.0,30.0,0.0,1,Wednesday,False,1,0,0,12.320140000000002,False,False
2024-01-03 02:00:00,7272,Edgar Street,Bankstown,23.0,4.0,30.0,0.0,2,Wednesday,False,1,0,0,9.10322,False,False
2024-01-03 03:00:00,7272,Edgar Street,Bankstown,28.0,5.0,30.0,0.0,3,Wednesday,False,1,0,0,11.181520000000004,False,False
2024-01-03 04:00:00,7272,Edgar Street,Bankstown,48.0,7.0,30.0,0.0,4,Wednesday,False,1,0,0,17.97152,False,False
2024-01-03 05:00:00,7272,Edgar Street,Bankstown,79.0,9.0,30.0,0.0,5,Wednesday,False,1,0,0,27.65826,False,False
2024-01-03 06:00:00,7272,Edgar Street,Bankstown,146.0,20.0,30.0,0.0,6,Wednesday,False,1,0,0,53.679640000000006,False,False
2024-01-03 07:00:00,7272,Edgar Street,Bankstown,140.0,19.0,30.0,0.0,7,Wednesday,False,1,0,0,51.33800000000001,False,False
2024-01-03 08:00:00,7272,Edgar Street,Bankstown,131.0,29.0,30.0,0.0,8,Wednesday,False,1,0,0,56.583940000000005,False,False
2024-01-03 09:00:00,7272,Edgar Street,Bankstown,150.0,25.0,30.0,0.0,9,Wednesday,False,1,0,0,58.54100000000001,False,False
2024-01-03 10:00:00,7272,Edgar Street,Bankstown,142.0,28.0,30.0,0.0,10,Wednesday,False,1,0,0,58.71908,False,False
2024-01-03 11:00:00,7272,Edgar Street,Bankstown,134.0,33.0,30.0,0.0,11,Wednesday,False,1,0,0,60.42036,False,False
2024-01-03 12:00:00,7272,Edgar Street,Bankstown,175.0,27.0,30.0,0.0,12,Wednesday,False,1,0,0,66.6477,False,False
2024-01-03 13:00:00,7272,Edgar Street,Bankstown,168.0,22.0,30.0,0.0,13,Wednesday,False,1,0,0,60.99632,False,False
2024-01-03 14:00:00,7272,Edgar Street,Bankstown,176.0,31.0,30.0,0.0,14,Wednesday,False,1,0,0,69.95744,False,False
2024-01-03 15:00:00,7272,Edgar Street,Bankstown,154.0,25.0,30.0,0.0,15,Wednesday,False,1,0,0,59.59436000000001,False,False
2024-01-03 16:00:00,7272,Edgar Street,Bankstown,151.0,17.0,30.0,0.0,16,Wednesday,False,1,0,0,52.71154000000001,False,False
2024-01-03 17:00:00,7272,Edgar Street,Bankstown,157.0,13.0,30.0,0.0,17,Wednesday,False,1,0,0,51.245180000000005,False,False
2024-01-03 18:00:00,7272,Edgar Street,Bankstown,161.0,17.0,30.0,0.0,18,Wednesday,False,1,0,0,55.34494,False,False
2024-01-03 19:00:00,7272,Edgar Street,Bankstown,145.0,17.0,30.0,0.0,19,Wednesday,False,1,0,0,51.1315,False,False
2024-01-03 20:00:00,7272,Edgar Street,Bankstown,153.0,12.0,30.0,0.0,20,Wednesday,False,1,0,0,49.430220000000006,False,False
2024-01-03 21:00:00,7272,Edgar Street,Bankstown,177.0,12.0,30.0,0.0,21,Wednesday,False,1,0,0,55.75038000000001,False,False
2024-01-03 22:00:00,7272,Edgar Street,Bankstown,156.0,10.0,30.0,0.0,22,Wednesday,False,1,0,0,48.69704,False,False
2024-01-03 23:00:00,7272,Edgar Street,Bankstown,102.0,6.0,30.0,0.0,23,Wednesday,False,1,0,0,31.430280000000003,False,False
2024-01-04 00:00:00,7272,Edgar Street,Bankstown,111.0,5.0,28.7,0.0,0,Thursday,False,1,0,0,33.038740000000004,False,False
2024-01-04 01:00:00,7272,Edgar Street,Bankstown,61.0,5.0,28.7,0.0,1,Thursday,False,1,0,0,19.871740000000003,False,False
2024-01-04 02:00:00,7272,Edgar Street,Bankstown,26.0,5.0,28.7,0.0,2,Thursday,False,1,0,0,10.65484,False,False
2024-01-04 03:00:00,7272,Edgar Street,Bankstown,34.0,10.0,28.7,0.0,3,Thursday,False,1,0,0,16.569560000000003,False,False
2024-01-04 04:00:00,7272,Edgar Street,Bankstown,71.0,12.0,28.7,0.0,4,Thursday,False,1,0,0,27.83634,False,False
2024-01-04 05:00:00,7272,Edgar Street,Bankstown,128.0,20.0,28.7,0.0,5,Thursday,False,1,0,0,48.93952,False,False
