date,station_id,station_name,station_lat,station_lon,station_suburb,station_lga,traffic_volume_total,traffic_volume_light,traffic_volume_heavy,public_holiday,school_holiday,temp_c,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms,wind_dir_deg,rain_mm,weather_source_type,no2_pphm,co_ppm,ozone_pphm,matched_aq_site,aq_distance_km,has_no2_coverage
2024-01-01,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11876.0,11074.0,802.0,1,0,24.8,33.2,16.4,,,,0.0,bom_daily,0.1782608695652174,,2.360869565217391,ALBURY,83.2,True
2024-01-02,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,14253.0,13054.0,1199.0,0,0,26.200000000000003,33.2,19.2,,,,0.0,bom_daily,0.25217391304347825,,2.7130434782608694,ALBURY,83.2,True
2024-01-03,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,14088.0,12762.0,1326.0,0,0,25.799999999999997,33.4,18.2,,,,24.8,bom_daily,0.22608695652173913,,3.3043478260869565,ALBURY,83.2,True
2024-01-04,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,14189.0,12974.0,1215.0,0,0,26.4,33.3,19.5,,,,0.0,bom_daily,0.16956521739130434,,2.734782608695652,ALBURY,83.2,True
2024-01-05,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11034.0,10091.0,943.0,0,0,26.25,32.1,20.4,,,,5.2,bom_daily,0.16086956521739132,,2.0869565217391304,ALBURY,83.2,True
2024-01-06,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,13084.0,12053.0,1031.0,0,0,25.0,31.2,18.8,,,,0.0,bom_daily,0.11739130434782609,,2.373913043478261,ALBURY,83.2,True
2024-01-07,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10264.0,9377.0,887.0,0,0,22.25,23.7,20.8,,,,0.0,bom_daily,0.25217391304347825,,1.9739130434782608,ALBURY,83.2,True
2024-01-08,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11857.0,10806.0,1051.0,0,0,18.3,,18.3,,,,59.2,bom_daily,0.2391304347826087,,2.9956521739130437,ALBURY,83.2,True
2024-01-09,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,13012.0,11745.0,1267.0,0,0,17.3,,17.3,,,,6.6,bom_daily,0.29130434782608694,,2.4695652173913043,ALBURY,83.2,True
2024-01-10,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,13118.0,11904.0,1214.0,0,0,33.4,33.4,,,,,0.0,bom_daily,0.5347826086956522,,2.4391304347826086,ALBURY,83.2,True
