date,hour_ending,station_id,station_name,station_lat,station_lon,station_suburb,station_lga,traffic_volume_total,traffic_volume_light,traffic_volume_heavy,public_holiday,school_holiday,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,rain_mm,no2_pphm,co_ppm,ozone_pphm,matched_aq_site,aq_distance_km,has_no2_coverage
2024-01-01,1,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,86.0,67.0,19.0,1,0,14.3,88.3,2.9,77.6,0.0,0.2,,1.4,GOULBURN,78.1,True
2024-01-01,2,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,58.0,37.0,21.0,1,0,14.1,90.3,2.5,77.3,0.0,,,,GOULBURN,78.1,True
2024-01-01,3,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,73.0,43.0,30.0,1,0,14.3,89.1,2.0,83.4,0.0,0.1,,1.4,GOULBURN,78.1,True
2024-01-01,4,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,60.0,42.0,18.0,1,0,14.1,91.5,1.6,88.1,0.0,0.2,,1.3,GOULBURN,78.1,True
2024-01-01,5,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,61.0,50.0,11.0,1,0,13.9,93.6,1.7,97.7,0.0,0.2,,1.3,GOULBURN,78.1,True
2024-01-01,6,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,115.0,101.0,14.0,1,0,14.1,94.0,1.9,93.4,0.0,0.2,,1.2,GOULBURN,78.1,True
2024-01-01,7,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,211.0,176.0,35.0,1,0,14.8,91.5,2.1,92.1,0.0,0.1,,1.3,GOULBURN,78.1,True
2024-01-01,8,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,252.0,215.0,37.0,1,0,15.8,88.1,2.1,91.5,0.0,0.1,,1.3,GOULBURN,78.1,True
2024-01-01,9,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,523.0,459.0,64.0,1,0,17.3,80.5,2.4,60.2,0.0,0.1,,1.6,GOULBURN,78.1,True
2024-01-01,10,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,854.0,753.0,101.0,1,0,18.9,74.1,3.3,48.1,0.0,0.1,,1.9,GOULBURN,78.1,True
2024-01-01,11,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1249.0,1139.0,110.0,1,0,19.8,71.8,3.3,62.2,0.0,0.1,,2.0,GOULBURN,78.1,True
2024-01-01,12,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1663.0,1507.0,156.0,1,0,21.4,67.6,3.6,82.3,0.0,0.1,,2.2,GOULBURN,78.1,True
2024-01-01,13,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1695.0,1536.0,159.0,1,0,21.8,67.1,3.6,82.4,0.0,0.1,,2.4,GOULBURN,78.1,True
2024-01-01,14,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1898.0,1729.0,169.0,1,0,22.2,66.1,3.0,66.7,0.0,0.2,,2.4,GOULBURN,78.1,True
2024-01-01,15,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1846.0,1671.0,175.0,1,0,22.7,65.0,3.1,64.6,0.0,0.1,,2.5,GOULBURN,78.1,True
2024-01-01,16,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1791.0,1593.0,198.0,1,0,22.4,66.5,3.9,77.5,0.0,0.1,,2.5,GOULBURN,78.1,True
2024-01-01,17,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1512.0,1338.0,174.0,1,0,22.1,67.7,3.8,78.4,0.0,0.1,,2.4,GOULBURN,78.1,True
2024-01-01,18,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1340.0,1170.0,170.0,1,0,21.4,69.1,4.0,75.4,0.0,0.1,,2.5,GOULBURN,78.1,True
2024-01-01,19,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,973.0,826.0,147.0,1,0,20.1,76.5,3.5,82.7,0.0,0.1,,2.4,GOULBURN,78.1,True
