year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-02,Northbound,Heavy Vehicles,8,11,14,13,18,39,100,127,137,99,121,122,126,86,91,90,89,88,63,40,45,27,16,16,0,0
2024,2024-01-02,Southbound,Heavy Vehicles,8,12,19,15,25,44,73,87,89,99,94,92,75,81,90,94,86,57,38,35,30,17,25,20,0,0
2024,2024-01-02,Northbound,Light Vehicles,176,120,58,55,86,233,603,604,755,801,943,1104,1241,1159,1237,1358,1537,1633,1093,768,707,703,508,359,0,0
2024,2024-01-02,Southbound,Light Vehicles,142,104,63,87,164,379,598,722,853,944,993,989,913,934,906,870,949,926,781,636,494,459,360,224,0,0
2024,2024-01-02,Northbound,All Vehicles,184,131,72,68,104,272,703,731,892,900,1064,1226,1367,1245,1328,1448,1626,1721,1156,808,752,730,524,375,0,0
2024,2024-01-02,Southbound,All Vehicles,150,116,82,102,189,423,671,809,942,1043,1087,1081,988,1015,996,964,1035,983,819,671,524,476,385,244,0,0
2024,2024-01-03,Southbound,Heavy Vehicles,14,19,12,34,32,57,91,96,99,89,102,114,105,91,110,102,78,61,40,34,26,26,18,16,0,0
2024,2024-01-03,Northbound,Light Vehicles,191,101,60,47,87,277,705,665,773,868,964,1056,1063,1068,1235,1444,1586,1594,1250,835,740,729,581,432,0,0
2024,2024-01-03,Southbound,Light Vehicles,161,90,54,76,137,426,638,784,870,901,994,902,865,871,902,984,1023,1002,796,567,529,489,403,199,0,0
2024,2024-01-03,Northbound,Heavy Vehicles,14,14,16,20,31,51,137,130,132,130,119,115,99,130,97,98,99,79,75,51,30,35,18,15,0,0
2024,2024-01-03,Southbound,All Vehicles,175,109,66,110,169,483,729,880,969,990,1096,1016,970,962,1012,1086,1101,1063,836,601,555,515,421,215,0,0
2024,2024-01-03,Northbound,All Vehicles,205,115,76,67,118,328,842,795,905,998,1083,1171,1162,1198,1332,1542,1685,1673,1325,886,770,764,599,447,0,0
2024,2024-01-04,Southbound,Heavy Vehicles,15,11,23,28,38,63,115,154,121,154,141,166,148,145,158,136,132,98,79,58,34,31,26,41,0,0
2024,2024-01-04,Northbound,Light Vehicles,248,98,72,60,104,409,999,991,1110,1122,1266,1378,1438,1556,1807,1981,2086,2105,1559,1098,942,1234,909,477,0,0
