year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-01,Southbound,Light Vehicles,50,47,35,64,78,63,62,76,117,175,326,433,572,642,683,640,618,581,452,380,270,215,143,99,0,0
2024,2024-01-01,Southbound,Heavy Vehicles,6,7,7,8,4,6,15,17,17,22,33,34,54,50,40,50,36,29,29,17,19,12,12,4,0,0
2024,2024-01-01,Southbound,All Vehicles,56,54,42,72,82,69,77,93,134,197,359,467,626,692,723,690,654,610,481,397,289,227,155,103,0,0
2024,2024-01-04,Southbound,Heavy Vehicles,18,15,23,23,28,30,63,86,92,80,96,102,98,63,85,56,47,52,44,36,37,13,21,21,0,0
2024,2024-01-04,Southbound,Light Vehicles,51,30,14,16,16,53,124,209,319,426,535,533,488,548,519,522,455,386,302,229,179,140,77,59,0,0
2024,2024-01-04,Southbound,All Vehicles,69,45,37,39,44,83,187,295,411,506,631,635,586,611,604,578,502,438,346,265,216,153,98,80,0,0
2024,2024-01-05,Southbound,Light Vehicles,34,20,12,9,17,51,114,294,454,483,497,520,524,583,572,561,523,434,374,306,203,155,93,62,0,0
2024,2024-01-05,Southbound,Heavy Vehicles,18,17,26,19,27,33,71,107,126,128,92,103,78,80,72,76,47,59,44,33,39,19,16,15,0,0
2024,2024-01-05,Southbound,All Vehicles,52,37,38,28,44,84,185,401,580,611,589,623,602,663,644,637,570,493,418,339,242,174,109,77,0,0
2024,2024-01-06,Southbound,Heavy Vehicles,12,16,14,13,13,18,39,96,85,73,65,50,55,57,41,38,31,31,30,21,22,17,11,6,0,0
2024,2024-01-06,Southbound,Light Vehicles,61,18,18,10,16,40,134,428,535,545,533,516,564,486,514,506,480,465,344,314,207,161,140,81,0,0
2024,2024-01-06,Southbound,All Vehicles,73,34,32,23,29,58,173,524,620,618,598,566,619,543,555,544,511,496,374,335,229,178,151,87,0,0
2024,2024-01-07,Southbound,Light Vehicles,46,32,21,12,18,23,41,124,276,377,502,617,723,830,860,888,832,732,544,389,315,195,135,66,0,0
2024,2024-01-07,Southbound,Heavy Vehicles,9,13,3,8,9,12,9,16,34,40,45,43,61,54,49,65,51,38,52,35,28,14,15,11,0,0
2024,2024-01-07,Southbound,All Vehicles,55,45,24,20,27,35,50,140,310,417,547,660,784,884,909,953,883,770,596,424,343,209,150,77,0,0
2024,2024-01-08,Southbound,Heavy Vehicles,8,19,16,11,27,50,103,110,120,93,93,70,82,82,82,62,72,52,48,39,30,20,17,17,0,0
2024,2024-01-08,Southbound,Light Vehicles,58,19,11,11,27,114,220,341,336,310,378,439,523,526,501,513,434,345,264,184,130,114,48,44,0,0
2024,2024-01-08,Southbound,All Vehicles,66,38,27,22,54,164,323,451,456,403,471,509,605,608,583,575,506,397,312,223,160,134,65,61,0,0
2024,2024-01-09,Southbound,Heavy Vehicles,23,17,24,21,34,63,106,103,107,86,100,78,78,77,88,93,62,46,37,39,26,22,24,13,0,0
2024,2024-01-09,Southbound,Light Vehicles,26,12,6,10,23,111,189,300,286,339,358,428,430,396,400,455,387,339,232,181,135,82,70,46,0,0
2024,2024-01-09,Southbound,All Vehicles,49,29,30,31,57,174,295,403,393,425,458,506,508,473,488,548,449,385,269,220,161,104,94,59,0,0
2024,2024-01-10,Southbound,Light Vehicles,31,12,8,9,27,108,218,301,319,317,328,363,413,452,449,460,373,343,264,184,145,108,80,40,0,0
2024,2024-01-10,Southbound,Heavy Vehicles,19,24,23,20,33,78,146,126,124,109,85,76,88,83,73,84,71,65,41,37,34,20,15,20,0,0
2024,2024-01-10,Southbound,All Vehicles,50,36,31,29,60,186,364,427,443,426,413,439,501,535,522,544,444,408,305,221,179,128,95,60,0,0
2024,2024-01-11,Southbound,Heavy Vehicles,19,23,21,33,26,86,109,111,109,87,76,75,69,84,69,57,45,42,51,29,30,27,13,22,0,0
2024,2024-01-11,Southbound,Light Vehicles,37,24,14,9,23,75,169,201,266,261,324,325,378,371,363,387,323,308,205,190,124,91,53,42,0,0
2024,2024-01-11,Southbound,All Vehicles,56,47,35,42,49,161,278,312,375,348,400,400,447,455,432,444,368,350,256,219,154,118,66,64,0,0
2024,2024-01-12,Southbound,Heavy Vehicles,23,23,28,35,26,63,113,121,103,98,76,87,98,72,79,55,50,60,39,36,32,19,17,19,0,0
2024,2024-01-12,Southbound,Light Vehicles,34,25,7,11,22,76,140,187,240,283,315,361,383,437,447,475,441,452,337,281,236,168,80,45,0,0
