year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-01,Northbound,Light Vehicles,7,8,10,4,3,5,18,12,28,49,54,78,105,95,73,60,60,58,46,35,18,10,5,4,0,0
2024,2024-01-01,Northbound,Heavy Vehicles,,,,,1,1,2,1,4,,8,8,9,8,5,6,3,2,1,,3,,,,0,0
2024,2024-01-01,Southbound,Heavy Vehicles,1,1,,,1,1,1,4,4,5,3,6,2,1,6,6,5,3,2,2,,1,,,0,0
2024,2024-01-01,Southbound,Light Vehicles,13,6,5,4,4,8,6,8,22,35,48,75,65,97,96,88,54,72,41,37,30,13,11,4,0,0
2024,2024-01-01,Northbound,All Vehicles,7,8,10,4,4,6,20,13,32,49,62,86,114,103,78,66,63,60,47,35,21,10,5,4,0,0
2024,2024-01-01,Southbound,All Vehicles,14,7,5,4,5,9,7,12,26,40,51,81,67,98,102,94,59,75,43,39,30,14,11,4,0,0
2024,2024-01-02,Northbound,Heavy Vehicles,,1,,,,,2,9,6,6,10,13,9,11,7,12,6,8,4,1,4,1,,,0,0
2024,2024-01-02,Northbound,Light Vehicles,3,3,4,3,5,16,40,67,67,98,94,82,83,74,73,64,84,48,29,32,28,13,12,,0,0
2024,2024-01-02,Southbound,Light Vehicles,5,3,2,,2,5,26,35,33,52,83,94,104,96,95,91,119,66,44,33,23,12,7,3,0,0
2024,2024-01-02,Southbound,Heavy Vehicles,,,,,,,3,1,6,8,14,11,11,9,10,13,13,6,3,1,,1,1,,0,0
2024,2024-01-02,Northbound,All Vehicles,3,4,4,3,5,16,42,76,73,104,104,95,92,85,80,76,90,56,33,33,32,14,12,,0,0
2024,2024-01-02,Southbound,All Vehicles,5,3,2,,2,5,29,36,39,60,97,105,115,105,105,104,132,72,47,34,23,13,8,3,0,0
2024,2024-01-03,Northbound,Light Vehicles,1,3,2,3,6,28,39,56,89,93,88,83,81,78,66,84,77,47,33,27,18,16,6,2,0,0
2024,2024-01-03,Southbound,Heavy Vehicles,,,,1,1,,6,4,8,14,6,10,11,8,9,8,5,10,2,1,,,1,,0,0
2024,2024-01-03,Southbound,Light Vehicles,2,3,2,1,2,10,38,30,55,62,62,90,76,87,88,106,124,57,41,28,32,22,21,9,0,0
2024,2024-01-03,Northbound,Heavy Vehicles,,1,,,2,1,4,11,5,9,13,13,9,7,9,5,6,3,4,2,3,2,,,0,0
2024,2024-01-03,Northbound,All Vehicles,1,4,2,3,8,29,43,67,94,102,101,96,90,85,75,89,83,50,37,29,21,18,6,2,0,0
2024,2024-01-03,Southbound,All Vehicles,2,3,2,2,3,10,44,34,63,76,68,100,87,95,97,114,129,67,43,29,32,22,22,9,0,0
2024,2024-01-04,Southbound,Heavy Vehicles,,1,,,,1,5,8,8,13,11,10,10,7,6,9,8,10,3,3,,2,,,0,0
2024,2024-01-04,Northbound,Heavy Vehicles,,,1,,1,1,4,9,12,9,11,11,7,3,14,10,9,7,2,1,1,1,,,0,0
2024,2024-01-04,Southbound,Light Vehicles,3,1,1,2,4,10,37,35,41,58,67,99,74,87,85,81,107,84,64,25,32,25,17,10,0,0
2024,2024-01-04,Northbound,Light Vehicles,4,1,4,2,4,27,52,62,88,96,81,81,86,74,82,82,69,54,37,27,29,13,2,7,0,0
2024,2024-01-04,Southbound,All Vehicles,3,2,1,2,4,11,42,43,49,71,78,109,84,94,91,90,115,94,67,28,32,27,17,10,0,0
2024,2024-01-04,Northbound,All Vehicles,4,1,5,2,5,28,56,71,100,105,92,92,93,77,96,92,78,61,39,28,30,14,2,7,0,0
2024,2024-01-05,Southbound,Heavy Vehicles,1,1,,,,2,4,4,11,15,9,13,9,9,11,12,10,4,4,3,3,2,,1,0,0
2024,2024-01-05,Northbound,Light Vehicles,4,,,2,3,27,42,54,85,101,106,80,89,88,73,74,63,49,31,17,12,12,8,9,0,0
2024,2024-01-05,Northbound,Heavy Vehicles,,,,,,,6,13,10,15,13,12,7,11,14,9,7,4,3,2,2,1,1,,0,0
2024,2024-01-05,Southbound,Light Vehicles,1,7,1,3,,7,35,33,39,53,64,80,103,83,88,96,83,85,46,31,22,21,17,14,0,0
2024,2024-01-05,Southbound,All Vehicles,2,8,1,3,,9,39,37,50,68,73,93,112,92,99,108,93,89,50,34,25,23,17,15,0,0
2024,2024-01-05,Northbound,All Vehicles,4,,,2,3,27,48,67,95,116,119,92,96,99,87,83,70,53,34,19,14,13,9,9,0,0
2024,2024-01-06,Southbound,Heavy Vehicles,,,1,,,2,2,1,7,6,11,7,8,4,5,12,12,7,1,2,,,,,0,0
2024,2024-01-06,Southbound,Light Vehicles,7,1,2,1,1,6,13,20,26,57,69,83,63,89,88,83,78,70,37,32,23,12,14,10,0,0
2024,2024-01-06,Southbound,All Vehicles,7,1,3,1,1,8,15,21,33,63,80,90,71,93,93,95,90,77,38,34,23,12,14,10,0,0
2024,2024-01-07,Northbound,Heavy Vehicles,,1,,,,1,,2,6,6,9,9,9,11,7,4,2,2,3,1,4,2,,,0,0
2024,2024-01-07,Southbound,Light Vehicles,4,1,2,2,3,1,9,20,32,60,58,72,84,78,74,75,54,54,45,24,22,16,9,5,0,0
2024,2024-01-07,Northbound,Light Vehicles,4,2,4,1,4,6,22,27,49,77,75,97,82,66,81,58,55,50,47,26,24,14,7,4,0,0
2024,2024-01-07,Southbound,Heavy Vehicles,,1,,,,,3,2,3,2,9,8,9,5,6,6,4,3,4,,2,,,,0,0
2024,2024-01-07,Northbound,All Vehicles,4,3,4,1,4,7,22,29,55,83,84,106,91,77,88,62,57,52,50,27,28,16,7,4,0,0
2024,2024-01-07,Southbound,All Vehicles,4,2,2,2,3,1,12,22,35,62,67,80,93,83,80,81,58,57,49,24,24,16,9,5,0,0
2024,2024-01-08,Northbound,Light Vehicles,3,1,1,2,6,27,64,77,89,66,85,94,73,66,79,75,71,34,27,29,15,3,3,4,0,0
2024,2024-01-08,Southbound,Heavy Vehicles,1,,,,,,7,6,11,13,22,9,10,11,9,7,9,7,4,3,1,1,,,0,0
2024,2024-01-08,Southbound,Light Vehicles,4,2,1,1,,8,64,39,56,53,55,80,80,68,88,100,90,85,53,23,19,18,7,3,0,0
2024,2024-01-08,Northbound,Heavy Vehicles,,1,1,,,2,4,12,10,7,22,13,12,6,11,7,9,5,3,3,3,,,,0,0
2024,2024-01-08,Northbound,All Vehicles,3,2,2,2,6,29,68,89,99,73,107,107,85,72,90,82,80,39,30,32,18,3,3,4,0,0
2024,2024-01-08,Southbound,All Vehicles,5,2,1,1,,8,71,45,67,66,77,89,90,79,97,107,99,92,57,26,20,19,7,3,0,0
2024,2024-01-09,Northbound,Light Vehicles,2,2,,2,7,28,81,71,95,85,85,73,76,72,72,73,77,41,44,28,10,4,9,3,0,0
2024,2024-01-09,Southbound,Heavy Vehicles,,,,,,,9,14,11,10,13,14,15,9,12,8,6,5,4,2,1,2,,,0,0
2024,2024-01-09,Northbound,Heavy Vehicles,1,1,1,,,1,11,12,9,19,12,12,12,11,11,12,8,5,7,1,2,1,,,0,0
2024,2024-01-09,Southbound,Light Vehicles,3,2,2,1,1,8,61,45,51,66,68,88,71,75,82,92,125,78,54,29,20,25,11,4,0,0
2024,2024-01-09,Northbound,All Vehicles,3,3,1,2,7,29,92,83,104,104,97,85,88,83,83,85,85,46,51,29,12,5,9,3,0,0
2024,2024-01-09,Southbound,All Vehicles,3,2,2,1,1,8,70,59,62,76,81,102,86,84,94,100,131,83,58,31,21,27,11,4,0,0
2024,2024-01-10,Northbound,Light Vehicles,3,5,1,2,11,27,74,78,106,91,70,72,86,60,63,75,91,50,31,31,21,10,5,3,0,0
2024,2024-01-10,Southbound,Heavy Vehicles,,,,,2,1,9,9,13,10,10,8,11,12,6,8,14,8,3,6,,,,2,0,0
2024,2024-01-10,Southbound,Light Vehicles,1,1,1,1,3,8,62,45,46,49,74,69,86,81,79,95,118,97,55,35,22,16,10,7,0,0
2024,2024-01-10,Northbound,Heavy Vehicles,,1,,,,1,13,13,12,7,8,12,14,10,14,10,12,5,4,4,2,,,2,0,0
2024,2024-01-10,Northbound,All Vehicles,3,6,1,2,11,28,87,91,118,98,78,84,100,70,77,85,103,55,35,35,23,10,5,5,0,0
2024,2024-01-10,Southbound,All Vehicles,1,1,1,1,5,9,71,54,59,59,84,77,97,93,85,103,132,105,58,41,22,16,10,9,0,0
