year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-01,Westbound,Light Vehicles,152,129,70,35,37,52,100,155,231,372,658,787,853,784,807,836,857,727,607,484,309,228,116,58,0,0
2024,2024-01-01,Westbound,Heavy Vehicles,10,9,6,7,7,10,14,23,27,37,87,79,80,83,85,75,69,55,53,48,34,36,19,9,0,0
2024,2024-01-01,Westbound,All Vehicles,162,138,76,42,44,62,114,178,258,409,745,866,933,867,892,911,926,782,660,532,343,264,135,67,0,0
2024,2024-01-02,Westbound,Heavy Vehicles,13,9,16,22,53,86,108,111,136,145,162,156,157,149,129,148,117,93,61,59,41,32,32,11,0,0
2024,2024-01-02,Westbound,Light Vehicles,27,25,20,34,145,269,329,397,428,584,713,729,780,735,699,764,843,730,435,307,287,228,113,48,0,0
2024,2024-01-02,Westbound,All Vehicles,40,34,36,56,198,355,437,508,564,729,875,885,937,884,828,912,960,823,496,366,328,260,145,59,0,0
2024,2024-01-03,Westbound,Heavy Vehicles,20,14,13,32,63,111,112,131,122,158,150,175,149,171,144,132,111,91,88,50,54,41,35,16,0,0
2024,2024-01-03,Westbound,Light Vehicles,33,28,10,21,112,290,331,318,432,580,618,631,567,703,794,822,753,728,485,249,221,180,90,56,0,0
2024,2024-01-03,Westbound,All Vehicles,53,42,23,53,175,401,443,449,554,738,768,806,716,874,938,954,864,819,573,299,275,221,125,72,0,0
2024,2024-01-04,Westbound,Light Vehicles,32,29,10,26,121,297,334,368,461,492,615,602,560,675,678,696,653,592,324,252,230,235,89,51,0,0
2024,2024-01-04,Westbound,Heavy Vehicles,18,10,12,34,56,105,121,141,160,168,158,170,145,145,152,149,119,103,60,55,43,39,36,18,0,0
2024,2024-01-04,Westbound,All Vehicles,50,39,22,60,177,402,455,509,621,660,773,772,705,820,830,845,772,695,384,307,273,274,125,69,0,0
2024,2024-01-05,Westbound,Light Vehicles,24,11,10,35,114,270,310,361,444,576,689,621,613,672,695,671,734,579,468,302,236,200,157,74,0,0
2024,2024-01-05,Westbound,Heavy Vehicles,20,20,19,28,58,116,117,142,138,160,166,157,147,158,138,115,98,100,63,58,36,45,15,21,0,0
2024,2024-01-05,Westbound,All Vehicles,44,31,29,63,172,386,427,503,582,736,855,778,760,830,833,786,832,679,531,360,272,245,172,95,0,0
2024,2024-01-06,Westbound,Heavy Vehicles,12,9,16,19,34,40,41,55,70,83,103,78,87,102,98,76,78,57,47,49,38,32,24,23,0,0
2024,2024-01-06,Westbound,Light Vehicles,48,29,20,24,71,193,210,302,459,628,761,680,692,655,726,780,748,780,586,444,369,285,240,121,0,0
2024,2024-01-06,Westbound,All Vehicles,60,38,36,43,105,233,251,357,529,711,864,758,779,757,824,856,826,837,633,493,407,317,264,144,0,0
2024,2024-01-07,Westbound,Light Vehicles,65,35,20,24,51,139,122,181,411,548,780,779,879,835,864,975,973,813,592,468,312,180,84,44,0,0
2024,2024-01-07,Westbound,Heavy Vehicles,9,6,6,8,13,20,29,30,53,72,99,102,74,69,96,104,79,91,68,48,23,25,18,13,0,0
2024,2024-01-07,Westbound,All Vehicles,74,41,26,32,64,159,151,211,464,620,879,881,953,904,960,1079,1052,904,660,516,335,205,102,57,0,0
2024,2024-01-08,Westbound,Heavy Vehicles,13,15,15,45,95,182,188,181,188,165,259,203,187,172,149,157,138,117,55,48,42,51,32,21,0,0
2024,2024-01-08,Westbound,Light Vehicles,22,19,14,39,165,430,479,436,373,394,656,524,475,561,425,535,557,481,266,139,124,127,50,34,0,0
2024,2024-01-08,Westbound,All Vehicles,35,34,29,84,260,612,667,617,561,559,915,727,662,733,574,692,695,598,321,187,166,178,82,55,0,0
2024,2024-01-09,Westbound,Heavy Vehicles,22,20,16,45,113,183,222,202,216,218,223,234,207,188,180,177,153,121,77,44,46,39,27,21,0,0
2024,2024-01-09,Westbound,Light Vehicles,20,9,7,22,157,453,507,466,418,385,481,469,421,487,492,611,624,574,301,181,149,155,67,35,0,0
2024,2024-01-09,Westbound,All Vehicles,42,29,23,67,270,636,729,668,634,603,704,703,628,675,672,788,777,695,378,225,195,194,94,56,0,0
2024,2024-01-10,Westbound,Light Vehicles,16,7,14,28,157,453,459,475,453,486,482,494,434,553,563,659,685,688,402,249,209,157,81,45,0,0
2024,2024-01-10,Westbound,Heavy Vehicles,25,14,21,46,122,213,214,205,200,217,220,226,182,220,168,212,165,122,81,49,48,49,41,16,0,0
2024,2024-01-10,Westbound,All Vehicles,41,21,35,74,279,666,673,680,653,703,702,720,616,773,731,871,850,810,483,298,257,206,122,61,0,0
2024,2024-01-11,Westbound,Heavy Vehicles,24,16,18,40,106,191,244,205,236,207,240,211,192,244,184,178,188,123,89,45,50,49,53,24,0,0
2024,2024-01-11,Westbound,Light Vehicles,22,13,7,30,149,440,447,487,464,492,496,492,464,544,561,654,640,600,288,233,165,218,99,41,0,0
2024,2024-01-11,Westbound,All Vehicles,46,29,25,70,255,631,691,692,700,699,736,703,656,788,745,832,828,723,377,278,215,267,152,65,0,0
2024,2024-01-12,Westbound,Light Vehicles,18,16,12,44,163,421,399,405,422,499,540,575,556,638,615,700,659,635,443,279,189,180,168,99,0,0
2024,2024-01-12,Westbound,Heavy Vehicles,19,16,25,42,107,188,184,181,200,213,230,225,210,198,198,162,112,111,71,60,39,44,38,25,0,0
2024,2024-01-12,Westbound,All Vehicles,37,32,37,86,270,609,583,586,622,712,770,800,766,836,813,862,771,746,514,339,228,224,206,124,0,0
2024,2024-01-13,Westbound,Light Vehicles,61,21,27,22,72,202,214,316,438,572,687,691,688,771,789,577,152,186,513,603,474,362,239,143,0,0
2024,2024-01-13,Westbound,Heavy Vehicles,21,18,18,26,29,76,66,74,80,110,132,102,81,105,112,73,22,24,58,63,40,39,31,35,0,0
2024,2024-01-13,Westbound,All Vehicles,82,39,45,48,101,278,280,390,518,682,819,793,769,876,901,650,174,210,571,666,514,401,270,178,0,0
2024,2024-01-14,Westbound,Light Vehicles,59,54,31,21,54,146,129,164,329,548,782,691,735,700,768,774,694,573,379,227,141,109,61,20,0,0
2024,2024-01-14,Westbound,Heavy Vehicles,20,10,7,6,9,22,19,28,47,74,110,128,86,95,92,67,74,64,45,34,31,22,16,16,0,0
2024,2024-01-14,Westbound,All Vehicles,79,64,38,27,63,168,148,192,376,622,892,819,821,795,860,841,768,637,424,261,172,131,77,36,0,0
2024,2024-01-15,Westbound,Heavy Vehicles,10,10,14,29,89,177,177,166,124,154,209,207,182,181,178,158,140,98,73,51,43,47,20,21,0,0
2024,2024-01-15,Westbound,Light Vehicles,13,20,17,32,182,370,429,343,338,331,436,425,421,471,434,469,464,434,223,118,118,99,50,19,0,0
2024,2024-01-15,Westbound,All Vehicles,23,30,31,61,271,547,606,509,462,485,645,632,603,652,612,627,604,532,296,169,161,146,70,40,0,0
2024,2024-01-16,Westbound,Light Vehicles,14,16,15,27,177,445,558,515,422,371,374,404,386,440,457,462,525,486,265,119,127,143,53,34,0,0
2024,2024-01-16,Westbound,Heavy Vehicles,16,10,17,38,77,193,195,211,184,160,168,199,187,183,158,182,153,122,64,55,39,54,25,32,0,0
