year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-01,Westbound,Heavy Vehicles,62,91,88,53,26,25,16,43,50,52,54,73,80,71,68,65,68,66,57,38,38,30,21,32,0,0
2024,2024-01-01,Westbound,Light Vehicles,1545,2318,1717,843,501,349,378,407,553,785,1180,1463,1661,1713,1673,1921,1855,1831,1501,1150,937,836,736,533,0,0
2024,2024-01-01,Westbound,All Vehicles,1607,2409,1805,896,527,374,394,450,603,837,1234,1536,1741,1784,1741,1986,1923,1897,1558,1188,975,866,757,565,0,0
2024,2024-01-02,Westbound,Light Vehicles,297,179,145,130,144,243,455,819,1135,1386,1593,1692,1751,1741,1873,1918,1988,1930,1637,1261,1060,845,609,380,0,0
2024,2024-01-02,Westbound,Heavy Vehicles,11,13,6,14,18,30,59,75,108,120,113,155,151,114,127,117,93,91,70,53,34,32,31,12,0,0
2024,2024-01-02,Westbound,All Vehicles,308,192,151,144,162,273,514,894,1243,1506,1706,1847,1902,1855,2000,2035,2081,2021,1707,1314,1094,877,640,392,0,0
2024,2024-01-03,Westbound,Light Vehicles,212,125,84,78,109,311,699,1122,1509,1868,1996,2001,2073,2124,2201,2476,2696,2329,2012,1328,1140,955,761,498,0,0
2024,2024-01-03,Westbound,Heavy Vehicles,16,12,8,11,14,35,82,121,135,173,179,157,162,136,176,188,123,107,77,47,43,48,25,14,0,0
2024,2024-01-03,Westbound,All Vehicles,228,137,92,89,123,346,781,1243,1644,2041,2175,2158,2235,2260,2377,2664,2819,2436,2089,1375,1183,1003,786,512,0,0
2024,2024-01-04,Westbound,Heavy Vehicles,15,13,13,10,15,31,83,102,115,129,158,144,147,152,160,167,117,75,50,41,40,33,30,20,0,0
2024,2024-01-04,Westbound,Light Vehicles,287,236,105,70,131,253,578,928,1310,1509,1713,1743,1762,1882,1899,2110,2027,1781,1462,1017,893,872,699,444,0,0
2024,2024-01-04,Westbound,All Vehicles,302,249,118,80,146,284,661,1030,1425,1638,1871,1887,1909,2034,2059,2277,2144,1856,1512,1058,933,905,729,464,0,0
2024,2024-01-05,Westbound,Heavy Vehicles,11,14,6,7,20,44,75,116,127,178,183,174,184,147,158,176,127,101,74,69,45,44,24,21,0,0
2024,2024-01-05,Westbound,Light Vehicles,254,165,126,92,132,348,629,1117,1503,1781,2007,2132,2092,2085,2088,2255,2190,2159,2030,1489,1342,1296,1040,721,0,0
2024,2024-01-05,Westbound,All Vehicles,265,179,132,99,152,392,704,1233,1630,1959,2190,2306,2276,2232,2246,2431,2317,2260,2104,1558,1387,1340,1064,742,0,0
2024,2024-01-06,Westbound,Light Vehicles,511,300,229,172,155,226,475,780,1158,1737,1996,2157,2241,2059,2112,2198,2208,2249,1980,1520,1460,1264,1215,992,0,0
