year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-02,Westbound,Light Vehicles,9,7,11,7,22,51,104,180,266,383,487,486,479,444,420,383,446,370,264,208,160,106,49,24,0,0
2024,2024-01-02,Westbound,Heavy Vehicles,,,,1,2,11,14,18,34,39,28,24,42,36,41,35,34,33,16,19,7,7,3,1,0,0
2024,2024-01-02,Westbound,All Vehicles,9,7,11,8,24,62,118,198,300,422,515,510,521,480,461,418,480,403,280,227,167,113,52,25,0,0
2024,2024-01-03,Westbound,Light Vehicles,16,5,5,7,25,50,131,209,321,385,487,501,430,377,426,396,456,344,268,212,187,118,58,29,0,0
2024,2024-01-03,Westbound,Heavy Vehicles,,,1,3,3,6,15,27,38,38,47,25,35,31,29,37,37,29,24,11,10,7,4,2,0,0
2024,2024-01-03,Westbound,All Vehicles,16,5,6,10,28,56,146,236,359,423,534,526,465,408,455,433,493,373,292,223,197,125,62,31,0,0
2024,2024-01-04,Westbound,Heavy Vehicles,1,1,,1,6,9,17,25,32,29,41,40,40,33,35,35,25,22,25,18,8,8,3,1,0,0
2024,2024-01-04,Westbound,Light Vehicles,18,7,9,9,23,58,144,230,317,416,455,436,495,423,489,467,469,468,328,219,157,105,56,36,0,0
2024,2024-01-04,Westbound,All Vehicles,19,8,9,10,29,67,161,255,349,445,496,476,535,456,524,502,494,490,353,237,165,113,59,37,0,0
2024,2024-01-05,Westbound,Light Vehicles,13,5,6,8,19,56,147,220,310,461,521,532,500,510,424,460,425,406,263,203,181,153,79,60,0,0
2024,2024-01-05,Westbound,Heavy Vehicles,1,2,,2,5,8,13,19,36,39,35,25,23,40,37,32,34,22,21,15,10,12,4,,0,0
2024,2024-01-05,Westbound,All Vehicles,14,7,6,10,24,64,160,239,346,500,556,557,523,550,461,492,459,428,284,218,191,165,83,60,0,0
2024,2024-01-06,Westbound,Light Vehicles,40,28,14,8,19,29,87,156,273,378,472,472,428,379,398,374,334,291,237,205,173,129,73,39,0,0
2024,2024-01-06,Westbound,Heavy Vehicles,,1,1,2,4,6,6,12,35,26,17,20,28,23,32,23,26,25,17,13,7,6,3,2,0,0
