year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-01,Northbound,Light Vehicles,27,13,16,14,11,6,10,16,16,17,42,45,44,37,40,32,37,28,21,20,24,20,11,15,0,0
2024,2024-01-01,Northbound,Heavy Vehicles,1,,4,,,,2,2,1,1,3,5,3,1,2,3,2,1,2,,1,,1,2,0,0
2024,2024-01-01,Northbound,All Vehicles,28,13,20,14,11,6,12,18,17,18,45,50,47,38,42,35,39,29,23,20,25,20,12,17,0,0
2024,2024-01-02,Northbound,Light Vehicles,14,7,4,8,18,32,47,116,143,140,170,194,172,185,165,165,172,160,142,107,95,74,48,20,0,0
2024,2024-01-02,Northbound,Heavy Vehicles,,,,1,2,1,11,10,8,19,13,14,17,23,14,12,5,13,11,7,3,3,2,1,0,0
2024,2024-01-02,Northbound,All Vehicles,14,7,4,9,20,33,58,126,151,159,183,208,189,208,179,177,177,173,153,114,98,77,50,21,0,0
2024,2024-01-03,Northbound,Light Vehicles,23,20,20,18,58,264,386,558,670,594,579,615,639,549,635,611,648,585,419,290,237,189,106,67,0,0
2024,2024-01-03,Northbound,Heavy Vehicles,1,,2,1,12,30,48,74,52,69,57,65,39,49,50,56,42,48,31,19,25,9,8,3,0,0
2024,2024-01-03,Northbound,All Vehicles,24,20,22,19,70,294,434,632,722,663,636,680,678,598,685,667,690,633,450,309,262,198,114,70,0,0
2024,2024-01-04,Northbound,Heavy Vehicles,2,1,3,2,9,40,59,74,65,72,61,54,66,69,52,56,47,33,22,22,14,7,4,3,0,0
2024,2024-01-04,Northbound,Light Vehicles,49,31,21,28,58,238,384,563,626,553,642,670,691,615,696,590,617,533,421,316,244,176,117,68,0,0
2024,2024-01-04,Northbound,All Vehicles,51,32,24,30,67,278,443,637,691,625,703,724,757,684,748,646,664,566,443,338,258,183,121,71,0,0
2024,2024-01-05,Northbound,Light Vehicles,49,25,13,30,70,209,340,498,607,610,605,607,642,571,597,587,615,618,496,329,264,244,138,113,0,0
2024,2024-01-05,Northbound,Heavy Vehicles,3,1,1,2,13,28,59,56,54,69,73,77,76,63,62,48,62,35,36,20,27,14,4,4,0,0
2024,2024-01-05,Northbound,All Vehicles,52,26,14,32,83,237,399,554,661,679,678,684,718,634,659,635,677,653,532,349,291,258,142,117,0,0
2024,2024-01-06,Northbound,Heavy Vehicles,3,2,1,2,3,19,25,31,45,27,53,61,49,44,44,40,37,37,27,23,24,16,11,3,0,0
2024,2024-01-06,Northbound,Light Vehicles,81,53,31,35,36,121,239,403,461,499,656,638,682,589,621,579,493,609,520,375,318,252,213,145,0,0
2024,2024-01-06,Northbound,All Vehicles,84,55,32,37,39,140,264,434,506,526,709,699,731,633,665,619,530,646,547,398,342,268,224,148,0,0
2024,2024-01-07,Northbound,Heavy Vehicles,4,3,,2,,12,15,19,38,34,44,51,42,47,43,41,19,40,24,16,20,15,4,,0,0
2024,2024-01-07,Northbound,Light Vehicles,115,83,88,55,28,78,139,229,391,508,558,637,630,510,545,521,485,460,341,271,236,181,114,90,0,0
2024,2024-01-07,Northbound,All Vehicles,119,86,88,57,28,90,154,248,429,542,602,688,672,557,588,562,504,500,365,287,256,196,118,90,0,0
2024,2024-01-08,Northbound,Light Vehicles,44,23,16,26,60,313,609,834,841,610,558,562,549,550,559,593,651,650,375,265,197,129,73,36,0,0
2024,2024-01-08,Northbound,Heavy Vehicles,4,2,2,5,12,38,92,95,81,71,73,66,68,61,68,67,53,51,21,28,14,5,4,,0,0
2024,2024-01-08,Northbound,All Vehicles,48,25,18,31,72,351,701,929,922,681,631,628,617,611,627,660,704,701,396,293,211,134,77,36,0,0
2024,2024-01-09,Northbound,Light Vehicles,26,22,20,21,85,331,604,876,963,634,592,601,571,553,555,627,627,644,485,312,231,184,83,46,0,0
2024,2024-01-09,Northbound,Heavy Vehicles,3,1,4,5,15,44,86,115,81,88,92,59,79,69,63,59,45,52,33,12,13,11,3,1,0,0
2024,2024-01-09,Northbound,All Vehicles,29,23,24,26,100,375,690,991,1044,722,684,660,650,622,618,686,672,696,518,324,244,195,86,47,0,0
2024,2024-01-10,Northbound,Light Vehicles,39,17,15,26,94,330,669,951,898,671,667,653,593,544,615,689,673,740,537,348,281,181,108,43,0,0
2024,2024-01-10,Northbound,Heavy Vehicles,2,,3,3,12,56,104,106,81,90,80,92,103,76,51,81,46,46,27,21,17,16,12,2,0,0
2024,2024-01-10,Northbound,All Vehicles,41,17,18,29,106,386,773,1057,979,761,747,745,696,620,666,770,719,786,564,369,298,197,120,45,0,0
2024,2024-01-11,Northbound,Heavy Vehicles,,1,4,3,19,38,102,101,84,68,92,81,73,64,69,78,43,51,43,20,19,14,5,1,0,0
2024,2024-01-11,Northbound,Light Vehicles,29,15,23,31,65,339,674,826,915,683,651,599,555,552,600,657,602,738,512,404,365,237,108,59,0,0
2024,2024-01-11,Northbound,All Vehicles,29,16,27,34,84,377,776,927,999,751,743,680,628,616,669,735,645,789,555,424,384,251,113,60,0,0
2024,2024-01-12,Northbound,Heavy Vehicles,2,1,4,3,13,42,91,116,87,90,80,78,80,59,79,74,58,43,40,23,15,26,8,10,0,0
2024,2024-01-12,Northbound,Light Vehicles,38,23,21,28,78,328,585,831,925,654,692,660,678,555,624,634,720,750,604,444,317,255,179,123,0,0
2024,2024-01-12,Northbound,All Vehicles,40,24,25,31,91,370,676,947,1012,744,772,738,758,614,703,708,778,793,644,467,332,281,187,133,0,0
2024,2024-01-13,Northbound,Heavy Vehicles,4,6,4,2,8,15,28,44,49,51,62,63,47,45,35,53,30,39,53,23,23,20,17,4,0,0
2024,2024-01-13,Northbound,Light Vehicles,97,53,47,30,49,165,275,502,514,570,651,681,749,605,558,573,557,672,579,463,368,325,229,140,0,0
2024,2024-01-13,Northbound,All Vehicles,101,59,51,32,57,180,303,546,563,621,713,744,796,650,593,626,587,711,632,486,391,345,246,144,0,0
2024,2024-01-14,Northbound,Heavy Vehicles,6,3,3,5,1,6,18,22,29,48,48,49,43,36,40,35,33,33,21,16,19,6,5,3,0,0
2024,2024-01-14,Northbound,Light Vehicles,129,91,91,55,33,92,145,257,375,507,560,591,648,532,493,537,525,474,356,295,302,172,126,71,0,0
2024,2024-01-14,Northbound,All Vehicles,135,94,94,60,34,98,163,279,404,555,608,640,691,568,533,572,558,507,377,311,321,178,131,74,0,0
2024,2024-01-15,Northbound,Light Vehicles,49,29,21,27,87,341,635,954,902,632,516,550,575,522,519,549,618,649,408,253,180,134,74,39,0,0
2024,2024-01-15,Northbound,Heavy Vehicles,3,3,5,4,9,47,109,110,96,83,78,70,72,78,54,49,47,53,34,19,15,10,4,1,0,0
2024,2024-01-15,Northbound,All Vehicles,52,32,26,31,96,388,744,1064,998,715,594,620,647,600,573,598,665,702,442,272,195,144,78,40,0,0
2024,2024-01-16,Northbound,Heavy Vehicles,1,1,1,2,7,61,106,126,96,91,100,91,69,72,73,69,58,55,34,21,16,8,5,2,0,0
2024,2024-01-16,Northbound,Light Vehicles,16,12,13,29,77,367,656,962,1009,698,605,584,571,576,564,617,687,689,494,307,227,172,106,63,0,0
2024,2024-01-16,Northbound,All Vehicles,17,13,14,31,84,428,762,1088,1105,789,705,675,640,648,637,686,745,744,528,328,243,180,111,65,0,0
2024,2024-01-17,Northbound,Heavy Vehicles,1,1,1,2,20,55,105,109,101,87,80,66,81,71,78,88,86,49,32,21,16,12,5,6,0,0
