year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-02,Northbound,Heavy Vehicles,,,,,1,4,5,10,16,14,16,12,14,16,8,14,11,13,7,5,,1,1,1,0,0
2024,2024-01-02,Northbound,Light Vehicles,27,12,8,12,19,51,70,148,265,270,287,272,244,235,279,264,313,290,239,165,146,88,73,31,0,0
2024,2024-01-02,Northbound,All Vehicles,27,12,8,12,20,55,75,158,281,284,303,284,258,251,287,278,324,303,246,170,146,89,74,32,0,0
2024,2024-01-03,Northbound,Light Vehicles,35,11,15,3,16,56,80,157,256,254,307,259,269,238,247,242,311,301,225,193,125,106,66,52,0,0
2024,2024-01-03,Northbound,Heavy Vehicles,4,1,3,,1,3,3,17,23,15,24,19,11,18,17,13,19,8,7,4,1,2,1,,0,0
2024,2024-01-03,Northbound,All Vehicles,39,12,18,3,17,59,83,174,279,269,331,278,280,256,264,255,330,309,232,197,126,108,67,52,0,0
2024,2024-01-04,Northbound,Light Vehicles,29,23,14,10,16,88,121,193,346,335,343,345,365,341,308,345,432,451,317,205,159,133,99,53,0,0
2024,2024-01-04,Northbound,Heavy Vehicles,,1,3,1,7,3,11,11,19,13,26,20,21,17,17,22,14,14,13,6,2,4,5,2,0,0
2024,2024-01-04,Northbound,All Vehicles,29,24,17,11,23,91,132,204,365,348,369,365,386,358,325,367,446,465,330,211,161,137,104,55,0,0
2024,2024-01-05,Northbound,Heavy Vehicles,1,2,3,,3,5,5,7,21,27,24,30,22,21,17,23,19,17,15,4,9,4,4,,0,0
2024,2024-01-05,Northbound,Light Vehicles,49,24,12,19,22,85,135,212,301,336,363,328,397,341,340,336,405,369,325,218,181,176,116,80,0,0
2024,2024-01-05,Northbound,All Vehicles,50,26,15,19,25,90,140,219,322,363,387,358,419,362,357,359,424,386,340,222,190,180,120,80,0,0
2024,2024-01-06,Northbound,Heavy Vehicles,1,,2,2,4,9,14,11,17,18,19,15,8,13,17,16,15,10,5,8,1,3,3,1,0,0
2024,2024-01-06,Northbound,Light Vehicles,49,39,20,24,23,58,91,134,217,289,332,331,312,294,274,278,275,272,236,210,168,173,111,97,0,0
2024,2024-01-06,Northbound,All Vehicles,50,39,22,26,27,67,105,145,234,307,351,346,320,307,291,294,290,282,241,218,169,176,114,98,0,0
2024,2024-01-07,Northbound,Heavy Vehicles,3,,,,,3,3,7,14,12,7,10,13,6,11,12,12,6,10,3,5,4,3,2,0,0
2024,2024-01-07,Northbound,Light Vehicles,55,48,34,21,18,41,65,107,163,262,275,350,316,282,252,257,280,264,228,193,152,140,77,61,0,0
2024,2024-01-07,Northbound,All Vehicles,58,48,34,21,18,44,68,114,177,274,282,360,329,288,263,269,292,270,238,196,157,144,80,63,0,0
2024,2024-01-08,Northbound,Heavy Vehicles,,2,2,,3,10,12,15,17,21,26,19,21,19,24,18,19,10,18,8,3,4,2,2,0,0
2024,2024-01-08,Northbound,Light Vehicles,34,23,11,9,29,96,149,257,413,344,383,318,322,368,341,378,480,394,268,203,150,94,85,67,0,0
2024,2024-01-08,Northbound,All Vehicles,34,25,13,9,32,106,161,272,430,365,409,337,343,387,365,396,499,404,286,211,153,98,87,69,0,0
2024,2024-01-09,Northbound,Heavy Vehicles,1,,1,1,3,6,13,24,37,31,32,28,33,39,33,26,24,15,16,11,6,5,,,0,0
2024,2024-01-09,Northbound,Light Vehicles,20,18,13,23,21,109,158,265,414,399,357,371,334,319,350,399,492,450,287,201,146,131,101,62,0,0
2024,2024-01-09,Northbound,All Vehicles,21,18,14,24,24,115,171,289,451,430,389,399,367,358,383,425,516,465,303,212,152,136,101,62,0,0
2024,2024-01-10,Northbound,Heavy Vehicles,1,2,2,1,3,7,20,28,40,40,32,34,33,40,31,26,18,22,14,9,10,3,2,,0,0
2024,2024-01-10,Northbound,Light Vehicles,28,28,15,22,25,99,169,294,455,372,409,392,363,302,347,416,501,457,351,216,170,144,111,45,0,0
2024,2024-01-10,Northbound,All Vehicles,29,30,17,23,28,106,189,322,495,412,441,426,396,342,378,442,519,479,365,225,180,147,113,45,0,0
2024,2024-01-11,Northbound,Light Vehicles,26,18,8,17,25,101,172,264,441,424,390,341,383,329,376,403,497,464,384,232,187,140,87,45,0,0
2024,2024-01-11,Northbound,Heavy Vehicles,2,,3,2,5,4,17,24,34,29,30,33,24,33,26,32,19,22,21,20,5,1,3,2,0,0
2024,2024-01-11,Northbound,All Vehicles,28,18,11,19,30,105,189,288,475,453,420,374,407,362,402,435,516,486,405,252,192,141,90,47,0,0
2024,2024-01-12,Northbound,Light Vehicles,43,22,13,24,26,94,166,251,399,399,428,383,365,342,362,395,447,450,351,225,183,174,114,100,0,0
2024,2024-01-12,Northbound,Heavy Vehicles,,1,2,4,3,6,19,19,33,28,27,26,34,26,18,27,22,20,13,8,3,2,1,3,0,0
2024,2024-01-12,Northbound,All Vehicles,43,23,15,28,29,100,185,270,432,427,455,409,399,368,380,422,469,470,364,233,186,176,115,103,0,0
2024,2024-01-13,Northbound,Heavy Vehicles,4,,1,,2,2,8,7,9,16,18,20,17,17,17,14,8,10,16,7,6,4,4,5,0,0
2024,2024-01-13,Northbound,Light Vehicles,63,31,21,11,22,72,100,176,249,310,368,337,333,283,271,261,255,310,307,194,163,161,102,98,0,0
2024,2024-01-13,Northbound,All Vehicles,67,31,22,11,24,74,108,183,258,326,386,357,350,300,288,275,263,320,323,201,169,165,106,103,0,0
2024,2024-01-14,Northbound,Light Vehicles,76,47,44,25,14,42,62,105,158,230,296,348,299,311,254,247,260,270,211,172,150,124,61,33,0,0
2024,2024-01-14,Northbound,Heavy Vehicles,2,1,,1,,2,1,2,7,12,18,15,13,12,11,7,11,12,7,4,1,4,1,3,0,0
2024,2024-01-14,Northbound,All Vehicles,78,48,44,26,14,44,63,107,165,242,314,363,312,323,265,254,271,282,218,176,151,128,62,36,0,0
2024,2024-01-15,Northbound,Heavy Vehicles,1,3,1,4,3,6,13,18,30,20,28,25,31,23,17,25,27,8,12,3,2,4,1,,0,0
