year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-01,Northbound,Light Vehicles,207,264,203,142,126,147,160,169,214,307,376,494,478,513,467,482,433,397,339,288,286,293,245,151,0,0
2024,2024-01-01,Northbound,Heavy Vehicles,12,16,6,6,19,11,25,23,18,18,14,22,17,17,18,14,17,14,17,23,18,14,24,25,0,0
2024,2024-01-01,Northbound,All Vehicles,219,280,209,148,145,158,185,192,232,325,390,516,495,530,485,496,450,411,356,311,304,307,269,176,0,0
2024,2024-01-02,Northbound,Heavy Vehicles,34,28,34,41,86,120,182,213,154,191,132,146,126,109,121,102,77,84,72,58,49,45,43,35,0,0
2024,2024-01-02,Northbound,Light Vehicles,206,134,107,107,247,583,935,1072,1199,1387,1469,1530,1498,1258,1493,1419,1294,1318,1090,747,736,655,535,316,0,0
2024,2024-01-02,Northbound,All Vehicles,240,162,141,148,333,703,1117,1285,1353,1578,1601,1676,1624,1367,1614,1521,1371,1402,1162,805,785,700,578,351,0,0
2024,2024-01-03,Northbound,Heavy Vehicles,35,28,38,45,95,125,215,233,154,192,189,161,119,128,94,131,81,88,60,64,47,44,39,31,0,0
2024,2024-01-03,Northbound,Light Vehicles,214,116,72,101,231,635,1128,1100,1296,1399,1543,1561,1273,1451,1233,1383,1288,1220,1079,751,665,706,626,424,0,0
2024,2024-01-03,Northbound,All Vehicles,249,144,110,146,326,760,1343,1333,1450,1591,1732,1722,1392,1579,1327,1514,1369,1308,1139,815,712,750,665,455,0,0
2024,2024-01-04,Northbound,Heavy Vehicles,40,30,39,50,90,147,242,224,177,190,187,153,139,144,119,112,89,78,90,67,44,55,59,33,0,0
2024,2024-01-04,Northbound,Light Vehicles,260,93,89,113,231,610,1151,1090,1506,1413,1410,1462,1336,1408,1442,1313,1344,1364,1177,880,789,947,699,364,0,0
2024,2024-01-04,Northbound,All Vehicles,300,123,128,163,321,757,1393,1314,1683,1603,1597,1615,1475,1552,1561,1425,1433,1442,1267,947,833,1002,758,397,0,0
2024,2024-01-05,Northbound,Heavy Vehicles,41,35,29,44,108,145,243,214,174,210,157,148,146,122,102,,88,89,68,,,64,45,36,0,0
2024,2024-01-05,Northbound,Light Vehicles,252,95,77,105,238,627,1245,1064,1306,1352,1285,1413,1411,1447,1426,,1401,1481,1066,,,852,776,676,0,0
2024,2024-01-05,Northbound,All Vehicles,293,130,106,149,346,772,1488,1278,1480,1562,1442,1561,1557,1569,1528,,1489,1570,1134,,,916,821,712,0,0
2024,2024-01-06,Northbound,Heavy Vehicles,26,23,22,30,40,63,127,119,104,103,89,90,94,77,78,75,72,62,65,41,44,37,38,22,0,0
2024,2024-01-06,Northbound,Light Vehicles,258,170,104,97,175,431,951,904,1123,1301,1345,1612,1684,1449,1648,1622,1470,1186,1161,942,923,838,734,605,0,0
2024,2024-01-06,Northbound,All Vehicles,284,193,126,127,215,494,1078,1023,1227,1404,1434,1702,1778,1526,1726,1697,1542,1248,1226,983,967,875,772,627,0,0
2024,2024-01-07,Northbound,Heavy Vehicles,30,22,17,21,29,37,46,61,75,59,75,54,47,66,56,56,63,66,62,54,43,45,40,39,0,0
2024,2024-01-07,Northbound,Light Vehicles,368,262,224,97,147,326,499,554,813,1208,1608,1546,1685,1630,1480,1404,1396,1235,1315,900,852,797,688,340,0,0
2024,2024-01-07,Northbound,All Vehicles,398,284,241,118,176,363,545,615,888,1267,1683,1600,1732,1696,1536,1460,1459,1301,1377,954,895,842,728,379,0,0
2024,2024-01-08,Northbound,Light Vehicles,202,216,95,115,239,970,1492,1443,1565,1393,1341,1380,1274,1227,1152,1315,1328,1458,1109,805,709,598,431,349,0,0
2024,2024-01-08,Northbound,Heavy Vehicles,36,34,44,49,76,175,287,246,203,232,202,234,204,164,138,136,108,102,66,65,65,46,40,35,0,0
2024,2024-01-08,Northbound,All Vehicles,238,250,139,164,315,1145,1779,1689,1768,1625,1543,1614,1478,1391,1290,1451,1436,1560,1175,870,774,644,471,384,0,0
