the_geom,station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count,wgs84_latitude,wgs84_longitude
0101000020E6100000E17F2BD9B1E66240213CDA3862ED40C0,01001N,NETWORK CHANGE DO NOT LOAD DATA - BRADFIELD,DAWES POINT,NORTH,UNCLASSIFIED,2024,ALL DAYS,94212,-33.85456,151.20921
0101000020E6100000E17F2BD9B1E66240213CDA3862ED40C0,01001N,NETWORK CHANGE DO NOT LOAD DATA - BRADFIELD,DAWES POINT,NORTH,UNCLASSIFIED,2024,AM PEAK,24613,-33.85456,151.20921
0101000020E6100000E17F2BD9B1E66240213CDA3862ED40C0,01001N,NETWORK CHANGE DO NOT LOAD DATA - BRADFIELD,DAWES POINT,NORTH,UNCLASSIFIED,2024,OFF PEAK,48402,-33.85456,151.20921
0101000020E6100000E17F2BD9B1E66240213CDA3862ED40C0,01001N,NETWORK CHANGE DO NOT LOAD DATA - BRADFIELD,DAWES POINT,NORTH,UNCLASSIFIED,2024,PM PEAK,24681,-33.85456,151.20921
0101000020E6100000E17F2BD9B1E66240213CDA3862ED40C0,01001N,NETWORK CHANGE DO NOT LOAD DATA - BRADFIELD,DAWES POINT,NORTH,UNCLASSIFIED,2024,WEEKDAYS,97696,-33.85456,151.20921
0101000020E6100000E17F2BD9B1E66240213CDA3862ED40C0,01001N,NETWORK CHANGE DO NOT LOAD DATA - BRADFIELD,DAWES POINT,NORTH,UNCLASSIFIED,2024,WEEKENDS,80401,-33.85456,151.20921
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,NORTH,UNCLASSIFIED,2024,ALL DAYS,19197,-33.888699,151.191421
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,SOUTH,UNCLASSIFIED,2024,ALL DAYS,15738,-33.888699,151.191421
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,BOTH,UNCLASSIFIED,2024,ALL DAYS,34935,-33.888699,151.191421
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,NORTH,UNCLASSIFIED,2024,AM PEAK,5641,-33.888699,151.191421
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,SOUTH,UNCLASSIFIED,2024,AM PEAK,2998,-33.888699,151.191421
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,BOTH,UNCLASSIFIED,2024,AM PEAK,8639,-33.888699,151.191421
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,NORTH,UNCLASSIFIED,2024,OFF PEAK,9784,-33.888699,151.191421
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,SOUTH,UNCLASSIFIED,2024,OFF PEAK,8554,-33.888699,151.191421
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,BOTH,UNCLASSIFIED,2024,OFF PEAK,18338,-33.888699,151.191421
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,NORTH,UNCLASSIFIED,2024,PM PEAK,4569,-33.888699,151.191421
0101000020E610000090D8EE1E20E66240747E8AE3C0F140C0,02015,City Road,Camperdown,SOUTH,UNCLASSIFIED,2024,PM PEAK,4602,-33.888699,151.191421
