Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066124,2024,01,01,24.4,1,Y
IDCJAC0010,066124,2024,01,02,29.2,1,Y
IDCJAC0010,066124,2024,01,03,30.2,1,Y
IDCJAC0010,066124,2024,01,04,27.8,1,Y
IDCJAC0010,066124,2024,01,05,25.0,1,Y
IDCJAC0010,066124,2024,01,06,27.0,1,Y
IDCJAC0010,066124,2024,01,07,30.0,1,Y
IDCJAC0010,066124,2024,01,08,26.2,1,Y
IDCJAC0010,066124,2024,01,09,27.5,1,Y
IDCJAC0010,066124,2024,01,10,30.2,1,Y
IDCJAC0010,066124,2024,01,11,30.5,1,Y
IDCJAC0010,066124,2024,01,12,30.4,1,Y
IDCJAC0010,066124,2024,01,13,32.2,1,Y
IDCJAC0010,066124,2024,01,14,27.6,1,Y
IDCJAC0010,066124,2024,01,15,23.6,1,Y
IDCJAC0010,066124,2024,01,16,25.2,1,Y
IDCJAC0010,066124,2024,01,17,28.2,1,Y
IDCJAC0010,066124,2024,01,18,30.8,1,Y
IDCJAC0010,066124,2024,01,19,30.2,1,Y
IDCJAC0010,066124,2024,01,20,27.5,1,Y
IDCJAC0010,066124,2024,01,21,37.5,1,Y
IDCJAC0010,066124,2024,01,22,24.5,1,Y
IDCJAC0010,066124,2024,01,23,26.8,1,Y
IDCJAC0010,066124,2024,01,24,31.0,1,Y
IDCJAC0010,066124,2024,01,25,31.0,1,Y
IDCJAC0010,066124,2024,01,26,37.5,1,Y
IDCJAC0010,066124,2024,01,27,23.8,1,Y
IDCJAC0010,066124,2024,01,28,27.5,1,Y
IDCJAC0010,066124,2024,01,29,31.2,1,Y
IDCJAC0010,066124,2024,01,30,26.2,1,Y
IDCJAC0010,066124,2024,01,31,27.0,1,Y
IDCJAC0010,066124,2024,02,01,30.5,1,Y
IDCJAC0010,066124,2024,02,02,31.6,1,Y
IDCJAC0010,066124,2024,02,03,29.0,1,Y
IDCJAC0010,066124,2024,02,04,39.2,1,Y
IDCJAC0010,066124,2024,02,05,34.0,1,Y
IDCJAC0010,066124,2024,02,06,25.0,1,Y
IDCJAC0010,066124,2024,02,07,24.6,1,Y
IDCJAC0010,066124,2024,02,08,24.4,1,Y
IDCJAC0010,066124,2024,02,09,25.5,1,Y
IDCJAC0010,066124,2024,02,10,25.6,1,Y
IDCJAC0010,066124,2024,02,11,25.5,1,Y
IDCJAC0010,066124,2024,02,12,31.2,1,Y
IDCJAC0010,066124,2024,02,13,33.0,1,Y
IDCJAC0010,066124,2024,02,14,31.0,1,Y
IDCJAC0010,066124,2024,02,15,21.2,1,Y
IDCJAC0010,066124,2024,02,16,27.6,1,Y
IDCJAC0010,066124,2024,02,17,32.0,1,Y
IDCJAC0010,066124,2024,02,18,30.2,1,Y
IDCJAC0010,066124,2024,02,19,27.0,1,Y
IDCJAC0010,066124,2024,02,20,23.0,1,Y
IDCJAC0010,066124,2024,02,21,26.8,1,Y
IDCJAC0010,066124,2024,02,22,31.4,1,Y
IDCJAC0010,066124,2024,02,23,35.5,1,Y
IDCJAC0010,066124,2024,02,24,22.0,1,Y
IDCJAC0010,066124,2024,02,25,28.6,1,Y
IDCJAC0010,066124,2024,02,26,28.4,1,Y
IDCJAC0010,066124,2024,02,27,24.3,1,Y
IDCJAC0010,066124,2024,02,28,29.6,1,Y
IDCJAC0010,066124,2024,02,29,37.6,1,Y
IDCJAC0010,066124,2024,03,01,29.6,1,Y
IDCJAC0010,066124,2024,03,02,26.2,1,Y
IDCJAC0010,066124,2024,03,03,31.2,1,Y
IDCJAC0010,066124,2024,03,04,24.0,1,Y
IDCJAC0010,066124,2024,03,05,26.2,1,Y
IDCJAC0010,066124,2024,03,06,30.3,1,Y
IDCJAC0010,066124,2024,03,07,28.0,1,Y
IDCJAC0010,066124,2024,03,08,29.0,1,Y
IDCJAC0010,066124,2024,03,09,29.5,1,Y
IDCJAC0010,066124,2024,03,10,29.6,1,Y
IDCJAC0010,066124,2024,03,11,29.1,1,Y
IDCJAC0010,066124,2024,03,12,33.5,1,Y
IDCJAC0010,066124,2024,03,13,29.1,1,Y
IDCJAC0010,066124,2024,03,14,34.5,1,Y
