Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066137,2025,01,01,32.1,1,Y
IDCJAC0010,066137,2025,01,02,24.0,1,Y
IDCJAC0010,066137,2025,01,03,26.8,1,Y
IDCJAC0010,066137,2025,01,04,30.9,1,Y
IDCJAC0010,066137,2025,01,05,35.6,1,Y
IDCJAC0010,066137,2025,01,06,37.7,1,Y
IDCJAC0010,066137,2025,01,07,22.0,1,Y
IDCJAC0010,066137,2025,01,08,21.0,1,Y
IDCJAC0010,066137,2025,01,09,25.8,1,Y
IDCJAC0010,066137,2025,01,10,26.9,1,Y
IDCJAC0010,066137,2025,01,11,27.0,1,Y
IDCJAC0010,066137,2025,01,12,29.3,1,Y
IDCJAC0010,066137,2025,01,13,32.2,1,Y
IDCJAC0010,066137,2025,01,14,31.8,1,Y
IDCJAC0010,066137,2025,01,15,33.7,1,Y
IDCJAC0010,066137,2025,01,16,22.6,1,Y
IDCJAC0010,066137,2025,01,17,21.7,1,Y
IDCJAC0010,066137,2025,01,18,26.1,1,Y
IDCJAC0010,066137,2025,01,19,24.5,1,Y
IDCJAC0010,066137,2025,01,20,25.7,1,Y
IDCJAC0010,066137,2025,01,21,28.9,1,Y
IDCJAC0010,066137,2025,01,22,36.7,1,Y
IDCJAC0010,066137,2025,01,23,25.8,1,Y
IDCJAC0010,066137,2025,01,24,27.4,1,Y
IDCJAC0010,066137,2025,01,25,28.2,1,Y
IDCJAC0010,066137,2025,01,26,28.6,1,Y
IDCJAC0010,066137,2025,01,27,35.1,1,Y
IDCJAC0010,066137,2025,01,28,42.3,1,Y
IDCJAC0010,066137,2025,01,29,26.0,1,Y
IDCJAC0010,066137,2025,01,30,25.4,1,Y
IDCJAC0010,066137,2025,01,31,26.5,1,Y
IDCJAC0010,066137,2025,02,01,27.6,1,Y
IDCJAC0010,066137,2025,02,02,29.1,1,Y
IDCJAC0010,066137,2025,02,03,31.0,1,Y
IDCJAC0010,066137,2025,02,04,33.2,1,Y
IDCJAC0010,066137,2025,02,05,32.7,1,Y
IDCJAC0010,066137,2025,02,06,28.8,1,Y
IDCJAC0010,066137,2025,02,07,32.2,1,Y
IDCJAC0010,066137,2025,02,08,31.1,1,Y
IDCJAC0010,066137,2025,02,09,29.2,1,Y
IDCJAC0010,066137,2025,02,10,25.6,1,Y
IDCJAC0010,066137,2025,02,11,27.5,1,Y
IDCJAC0010,066137,2025,02,12,28.9,1,Y
IDCJAC0010,066137,2025,02,13,29.9,1,Y
IDCJAC0010,066137,2025,02,14,26.8,1,Y
IDCJAC0010,066137,2025,02,15,29.3,1,Y
IDCJAC0010,066137,2025,02,16,23.1,1,Y
IDCJAC0010,066137,2025,02,17,24.1,1,Y
IDCJAC0010,066137,2025,02,18,28.4,1,Y
IDCJAC0010,066137,2025,02,19,27.4,1,Y
IDCJAC0010,066137,2025,02,20,24.2,1,Y
IDCJAC0010,066137,2025,02,21,25.4,1,Y
IDCJAC0010,066137,2025,02,22,28.6,1,Y
IDCJAC0010,066137,2025,02,23,31.3,1,Y
IDCJAC0010,066137,2025,02,24,28.1,1,Y
IDCJAC0010,066137,2025,02,25,23.4,1,Y
IDCJAC0010,066137,2025,02,26,29.0,1,Y
IDCJAC0010,066137,2025,02,27,31.4,1,Y
IDCJAC0010,066137,2025,02,28,37.7,1,Y
IDCJAC0010,066137,2025,03,01,32.0,1,Y
IDCJAC0010,066137,2025,03,02,25.6,1,Y
IDCJAC0010,066137,2025,03,03,25.9,1,Y
IDCJAC0010,066137,2025,03,04,27.0,1,Y
IDCJAC0010,066137,2025,03,05,27.9,1,Y
IDCJAC0010,066137,2025,03,06,27.7,1,Y
IDCJAC0010,066137,2025,03,07,27.0,1,Y
IDCJAC0010,066137,2025,03,08,25.6,1,Y
IDCJAC0010,066137,2025,03,09,29.0,1,Y
IDCJAC0010,066137,2025,03,10,27.2,1,Y
IDCJAC0010,066137,2025,03,11,24.3,1,Y
IDCJAC0010,066137,2025,03,12,27.5,1,Y
IDCJAC0010,066137,2025,03,13,32.3,1,Y
IDCJAC0010,066137,2025,03,14,36.2,1,Y
IDCJAC0010,066137,2025,03,15,35.6,1,Y
IDCJAC0010,066137,2025,03,16,37.9,1,Y
IDCJAC0010,066137,2025,03,17,22.0,1,Y
IDCJAC0010,066137,2025,03,18,24.1,1,Y
IDCJAC0010,066137,2025,03,19,28.8,1,Y
IDCJAC0010,066137,2025,03,20,32.9,1,Y
IDCJAC0010,066137,2025,03,21,28.9,1,Y
IDCJAC0010,066137,2025,03,22,26.8,1,Y
IDCJAC0010,066137,2025,03,23,22.3,1,Y
IDCJAC0010,066137,2025,03,24,27.1,1,Y
IDCJAC0010,066137,2025,03,25,26.7,1,Y
IDCJAC0010,066137,2025,03,26,28.3,1,Y
IDCJAC0010,066137,2025,03,27,27.0,1,Y
IDCJAC0010,066137,2025,03,28,25.7,1,Y
IDCJAC0010,066137,2025,03,29,22.6,1,Y
IDCJAC0010,066137,2025,03,30,25.2,1,Y
IDCJAC0010,066137,2025,03,31,24.7,1,Y
IDCJAC0010,066137,2025,04,01,25.0,1,Y
IDCJAC0010,066137,2025,04,02,25.3,1,Y
IDCJAC0010,066137,2025,04,03,27.1,1,Y
IDCJAC0010,066137,2025,04,04,26.0,1,Y
IDCJAC0010,066137,2025,04,05,26.9,1,Y
IDCJAC0010,066137,2025,04,06,26.4,1,Y
IDCJAC0010,066137,2025,04,07,27.3,1,Y
IDCJAC0010,066137,2025,04,08,22.5,1,Y
IDCJAC0010,066137,2025,04,09,25.1,1,Y
IDCJAC0010,066137,2025,04,10,25.2,1,Y
IDCJAC0010,066137,2025,04,11,30.9,1,Y
IDCJAC0010,066137,2025,04,12,26.6,1,Y
IDCJAC0010,066137,2025,04,13,27.5,1,Y
IDCJAC0010,066137,2025,04,14,29.9,1,Y
IDCJAC0010,066137,2025,04,15,23.5,1,Y
IDCJAC0010,066137,2025,04,16,23.4,1,Y
IDCJAC0010,066137,2025,04,17,25.2,1,Y
IDCJAC0010,066137,2025,04,18,25.6,1,Y
IDCJAC0010,066137,2025,04,19,30.7,1,Y
IDCJAC0010,066137,2025,04,20,30.8,1,Y
IDCJAC0010,066137,2025,04,21,27.2,1,Y
IDCJAC0010,066137,2025,04,22,24.3,1,Y
IDCJAC0010,066137,2025,04,23,25.1,1,Y
IDCJAC0010,066137,2025,04,24,25.6,1,Y
IDCJAC0010,066137,2025,04,25,22.9,1,Y
IDCJAC0010,066137,2025,04,26,24.4,1,Y
IDCJAC0010,066137,2025,04,27,21.2,1,Y
IDCJAC0010,066137,2025,04,28,22.7,1,Y
IDCJAC0010,066137,2025,04,29,24.8,1,Y
IDCJAC0010,066137,2025,04,30,18.6,1,Y
IDCJAC0010,066137,2025,05,01,20.4,1,Y
IDCJAC0010,066137,2025,05,02,20.9,1,Y
IDCJAC0010,066137,2025,05,03,21.9,1,Y
IDCJAC0010,066137,2025,05,04,22.8,1,Y
IDCJAC0010,066137,2025,05,05,24.4,1,Y
IDCJAC0010,066137,2025,05,06,26.1,1,Y
IDCJAC0010,066137,2025,05,07,27.3,1,Y
IDCJAC0010,066137,2025,05,08,20.6,1,Y
IDCJAC0010,066137,2025,05,09,19.5,1,Y
IDCJAC0010,066137,2025,05,10,22.1,1,Y
IDCJAC0010,066137,2025,05,11,22.3,1,Y
IDCJAC0010,066137,2025,05,12,23.7,1,Y
IDCJAC0010,066137,2025,05,13,21.8,1,Y
IDCJAC0010,066137,2025,05,14,24.3,1,Y
IDCJAC0010,066137,2025,05,15,20.1,1,Y
IDCJAC0010,066137,2025,05,16,20.8,1,Y
IDCJAC0010,066137,2025,05,17,22.4,1,Y
IDCJAC0010,066137,2025,05,18,16.4,1,Y
IDCJAC0010,066137,2025,05,19,18.1,1,Y
IDCJAC0010,066137,2025,05,20,20.1,1,Y
IDCJAC0010,066137,2025,05,21,19.3,1,Y
IDCJAC0010,066137,2025,05,22,19.1,1,Y
IDCJAC0010,066137,2025,05,23,21.0,1,Y
IDCJAC0010,066137,2025,05,24,21.8,1,Y
IDCJAC0010,066137,2025,05,25,19.5,1,Y
IDCJAC0010,066137,2025,05,26,17.8,1,Y
IDCJAC0010,066137,2025,05,27,18.8,1,Y
IDCJAC0010,066137,2025,05,28,19.8,1,Y
IDCJAC0010,066137,2025,05,29,18.4,1,Y
IDCJAC0010,066137,2025,05,30,21.2,1,Y
IDCJAC0010,066137,2025,05,31,19.8,1,Y
IDCJAC0010,066137,2025,06,01,20.7,1,N
IDCJAC0010,066137,2025,06,02,18.0,1,N
IDCJAC0010,066137,2025,06,03,19.8,1,N
IDCJAC0010,066137,2025,06,04,15.5,1,N
IDCJAC0010,066137,2025,06,05,18.3,1,N
IDCJAC0010,066137,2025,06,06,15.9,1,N
IDCJAC0010,066137,2025,06,07,20.2,1,N
IDCJAC0010,066137,2025,06,08,16.5,1,N
IDCJAC0010,066137,2025,06,09,16.1,1,N
IDCJAC0010,066137,2025,06,10,17.8,1,N
IDCJAC0010,066137,2025,06,11,17.0,1,N
IDCJAC0010,066137,2025,06,12,16.6,1,N
IDCJAC0010,066137,2025,06,13,16.8,1,N
IDCJAC0010,066137,2025,06,14,17.6,1,N
IDCJAC0010,066137,2025,06,15,19.2,1,N
IDCJAC0010,066137,2025,06,16,17.9,1,N
IDCJAC0010,066137,2025,06,17,19.4,1,N
IDCJAC0010,066137,2025,06,18,17.7,1,N
IDCJAC0010,066137,2025,06,19,18.5,1,N
IDCJAC0010,066137,2025,06,20,18.8,1,N
IDCJAC0010,066137,2025,06,21,19.2,1,N
IDCJAC0010,066137,2025,06,22,19.1,1,N
IDCJAC0010,066137,2025,06,23,22.9,1,N
IDCJAC0010,066137,2025,06,24,22.5,1,N
IDCJAC0010,066137,2025,06,25,17.2,1,N
IDCJAC0010,066137,2025,06,26,16.2,1,N
IDCJAC0010,066137,2025,06,27,15.8,1,Y
IDCJAC0010,066137,2025,06,28,18.4,1,N
IDCJAC0010,066137,2025,06,29,19.8,1,N
IDCJAC0010,066137,2025,06,30,18.0,1,N
IDCJAC0010,066137,2025,07,01,15.3,1,N
IDCJAC0010,066137,2025,07,02,18.1,1,N
IDCJAC0010,066137,2025,07,03,18.4,1,N
IDCJAC0010,066137,2025,07,04,19.0,1,N
IDCJAC0010,066137,2025,07,05,18.9,1,N
IDCJAC0010,066137,2025,07,06,21.8,1,N
IDCJAC0010,066137,2025,07,07,16.6,1,N
IDCJAC0010,066137,2025,07,08,16.3,1,N
IDCJAC0010,066137,2025,07,09,20.0,1,N
IDCJAC0010,066137,2025,07,10,15.9,1,N
IDCJAC0010,066137,2025,07,11,18.5,1,N
IDCJAC0010,066137,2025,07,12,20.1,1,N
