Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066137,2025,01,01,0.0,1,N
IDCJAC0009,066137,2025,01,02,0.0,1,N
IDCJAC0009,066137,2025,01,03,0.4,1,N
IDCJAC0009,066137,2025,01,04,0.0,1,N
IDCJAC0009,066137,2025,01,05,0.0,1,N
IDCJAC0009,066137,2025,01,06,0.0,1,N
IDCJAC0009,066137,2025,01,07,11.4,1,N
IDCJAC0009,066137,2025,01,08,4.0,1,N
IDCJAC0009,066137,2025,01,09,14.8,1,N
IDCJAC0009,066137,2025,01,10,0.8,1,N
IDCJAC0009,066137,2025,01,11,18.8,1,N
IDCJAC0009,066137,2025,01,12,22.4,1,N
IDCJAC0009,066137,2025,01,13,0.0,1,N
IDCJAC0009,066137,2025,01,14,0.0,1,N
IDCJAC0009,066137,2025,01,15,0.0,1,N
IDCJAC0009,066137,2025,01,16,54.4,1,N
IDCJAC0009,066137,2025,01,17,7.8,1,N
IDCJAC0009,066137,2025,01,18,4.4,1,N
IDCJAC0009,066137,2025,01,19,3.0,1,N
IDCJAC0009,066137,2025,01,20,0.0,1,N
IDCJAC0009,066137,2025,01,21,0.0,1,N
IDCJAC0009,066137,2025,01,22,1.4,1,N
IDCJAC0009,066137,2025,01,23,0.0,1,N
IDCJAC0009,066137,2025,01,24,0.0,1,N
IDCJAC0009,066137,2025,01,25,0.0,1,N
IDCJAC0009,066137,2025,01,26,0.0,1,N
IDCJAC0009,066137,2025,01,27,0.0,1,N
IDCJAC0009,066137,2025,01,28,5.0,1,N
IDCJAC0009,066137,2025,01,29,14.2,1,N
IDCJAC0009,066137,2025,01,30,0.2,1,N
IDCJAC0009,066137,2025,01,31,0.0,1,N
IDCJAC0009,066137,2025,02,01,0.0,1,Y
IDCJAC0009,066137,2025,02,02,0.0,1,Y
IDCJAC0009,066137,2025,02,03,0.0,1,Y
IDCJAC0009,066137,2025,02,04,0.0,1,Y
IDCJAC0009,066137,2025,02,05,0.0,1,Y
IDCJAC0009,066137,2025,02,06,0.0,1,Y
IDCJAC0009,066137,2025,02,07,0.0,1,Y
IDCJAC0009,066137,2025,02,08,0.0,1,Y
IDCJAC0009,066137,2025,02,09,19.4,1,Y
IDCJAC0009,066137,2025,02,10,0.0,1,Y
IDCJAC0009,066137,2025,02,11,22.6,1,Y
IDCJAC0009,066137,2025,02,12,0.0,1,Y
IDCJAC0009,066137,2025,02,13,0.4,1,Y
IDCJAC0009,066137,2025,02,14,0.8,1,Y
IDCJAC0009,066137,2025,02,15,20.6,1,Y
IDCJAC0009,066137,2025,02,16,0.0,1,Y
IDCJAC0009,066137,2025,02,17,0.0,1,Y
IDCJAC0009,066137,2025,02,18,0.0,1,Y
IDCJAC0009,066137,2025,02,19,0.0,1,Y
IDCJAC0009,066137,2025,02,20,0.0,1,Y
IDCJAC0009,066137,2025,02,21,0.0,1,Y
IDCJAC0009,066137,2025,02,22,4.6,1,Y
IDCJAC0009,066137,2025,02,23,0.0,1,Y
IDCJAC0009,066137,2025,02,24,0.4,1,Y
IDCJAC0009,066137,2025,02,25,0.0,1,Y
IDCJAC0009,066137,2025,02,26,0.0,1,Y
IDCJAC0009,066137,2025,02,27,0.0,1,Y
IDCJAC0009,066137,2025,02,28,0.0,1,Y
IDCJAC0009,066137,2025,03,01,0.0,1,Y
IDCJAC0009,066137,2025,03,02,0.0,1,Y
IDCJAC0009,066137,2025,03,03,0.0,1,Y
IDCJAC0009,066137,2025,03,04,5.0,1,Y
IDCJAC0009,066137,2025,03,05,5.6,1,Y
IDCJAC0009,066137,2025,03,06,2.2,1,Y
IDCJAC0009,066137,2025,03,07,2.4,1,Y
IDCJAC0009,066137,2025,03,08,1.2,1,Y
IDCJAC0009,066137,2025,03,09,3.8,1,Y
IDCJAC0009,066137,2025,03,10,0.6,1,Y
IDCJAC0009,066137,2025,03,11,10.8,1,Y
IDCJAC0009,066137,2025,03,12,9.0,1,Y
IDCJAC0009,066137,2025,03,13,0.0,1,Y
IDCJAC0009,066137,2025,03,14,0.0,1,Y
IDCJAC0009,066137,2025,03,15,0.0,1,Y
IDCJAC0009,066137,2025,03,16,0.0,1,Y
IDCJAC0009,066137,2025,03,17,0.0,1,Y
IDCJAC0009,066137,2025,03,18,0.0,1,Y
IDCJAC0009,066137,2025,03,19,0.0,1,Y
IDCJAC0009,066137,2025,03,20,0.0,1,Y
IDCJAC0009,066137,2025,03,21,0.0,1,Y
IDCJAC0009,066137,2025,03,22,0.6,1,Y
IDCJAC0009,066137,2025,03,23,1.4,1,Y
IDCJAC0009,066137,2025,03,24,5.6,1,Y
IDCJAC0009,066137,2025,03,25,0.0,1,Y
IDCJAC0009,066137,2025,03,26,3.6,1,Y
IDCJAC0009,066137,2025,03,27,0.0,1,Y
IDCJAC0009,066137,2025,03,28,2.6,1,Y
IDCJAC0009,066137,2025,03,29,26.6,1,Y
IDCJAC0009,066137,2025,03,30,13.6,1,Y
IDCJAC0009,066137,2025,03,31,11.0,1,Y
IDCJAC0009,066137,2025,04,01,0.0,1,Y
IDCJAC0009,066137,2025,04,02,0.0,1,Y
IDCJAC0009,066137,2025,04,03,0.0,1,Y
IDCJAC0009,066137,2025,04,04,0.0,1,Y
IDCJAC0009,066137,2025,04,05,0.0,1,Y
IDCJAC0009,066137,2025,04,06,0.0,1,Y
IDCJAC0009,066137,2025,04,07,0.0,1,Y
IDCJAC0009,066137,2025,04,08,0.0,1,Y
IDCJAC0009,066137,2025,04,09,6.2,1,Y
IDCJAC0009,066137,2025,04,10,0.0,1,Y
IDCJAC0009,066137,2025,04,11,0.0,1,Y
IDCJAC0009,066137,2025,04,12,0.0,1,Y
IDCJAC0009,066137,2025,04,13,0.0,1,Y
IDCJAC0009,066137,2025,04,14,0.0,1,Y
IDCJAC0009,066137,2025,04,15,2.2,1,Y
IDCJAC0009,066137,2025,04,16,0.0,1,Y
IDCJAC0009,066137,2025,04,17,0.0,1,Y
IDCJAC0009,066137,2025,04,18,0.0,1,Y
IDCJAC0009,066137,2025,04,19,0.0,1,Y
IDCJAC0009,066137,2025,04,20,0.0,1,Y
IDCJAC0009,066137,2025,04,21,0.0,1,Y
IDCJAC0009,066137,2025,04,22,0.0,1,Y
IDCJAC0009,066137,2025,04,23,10.6,1,Y
IDCJAC0009,066137,2025,04,24,0.4,1,Y
IDCJAC0009,066137,2025,04,25,0.4,1,Y
IDCJAC0009,066137,2025,04,26,0.4,1,Y
IDCJAC0009,066137,2025,04,27,32.6,1,Y
IDCJAC0009,066137,2025,04,28,10.2,1,Y
IDCJAC0009,066137,2025,04,29,0.6,1,Y
IDCJAC0009,066137,2025,04,30,15.0,1,Y
IDCJAC0009,066137,2025,05,01,4.0,1,Y
IDCJAC0009,066137,2025,05,02,7.6,1,Y
IDCJAC0009,066137,2025,05,03,0.0,1,Y
IDCJAC0009,066137,2025,05,04,0.0,1,Y
IDCJAC0009,066137,2025,05,05,2.0,1,Y
IDCJAC0009,066137,2025,05,06,0.0,1,Y
IDCJAC0009,066137,2025,05,07,0.0,1,Y
IDCJAC0009,066137,2025,05,08,0.0,1,Y
IDCJAC0009,066137,2025,05,09,0.0,1,Y
IDCJAC0009,066137,2025,05,10,0.0,1,Y
IDCJAC0009,066137,2025,05,11,0.0,1,Y
IDCJAC0009,066137,2025,05,12,3.0,1,Y
IDCJAC0009,066137,2025,05,13,0.0,1,Y
IDCJAC0009,066137,2025,05,14,10.2,1,Y
IDCJAC0009,066137,2025,05,15,0.0,1,Y
IDCJAC0009,066137,2025,05,16,14.6,1,Y
IDCJAC0009,066137,2025,05,17,2.4,1,Y
IDCJAC0009,066137,2025,05,18,1.4,1,Y
