Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066212,2025,01,01,32.3,1,N
IDCJAC0010,066212,2025,01,02,23.7,1,N
IDCJAC0010,066212,2025,01,03,26.1,1,N
IDCJAC0010,066212,2025,01,04,30.6,1,N
IDCJAC0010,066212,2025,01,05,34.3,1,N
IDCJAC0010,066212,2025,01,06,34.4,1,N
IDCJAC0010,066212,2025,01,07,22.2,1,N
IDCJAC0010,066212,2025,01,08,20.4,1,N
IDCJAC0010,066212,2025,01,09,24.3,1,N
IDCJAC0010,066212,2025,01,10,26.3,1,N
IDCJAC0010,066212,2025,01,11,28.3,1,N
IDCJAC0010,066212,2025,01,12,29.3,1,N
IDCJAC0010,066212,2025,01,13,30.8,1,N
IDCJAC0010,066212,2025,01,14,31.1,1,N
IDCJAC0010,066212,2025,01,15,32.9,1,N
IDCJAC0010,066212,2025,01,16,21.8,1,N
IDCJAC0010,066212,2025,01,17,21.4,1,N
IDCJAC0010,066212,2025,01,18,24.8,1,N
IDCJAC0010,066212,2025,01,19,24.0,1,N
IDCJAC0010,066212,2025,01,20,25.6,1,N
IDCJAC0010,066212,2025,01,21,27.0,1,N
IDCJAC0010,066212,2025,01,22,37.6,1,Y
IDCJAC0010,066212,2025,01,23,24.9,1,N
IDCJAC0010,066212,2025,01,24,25.9,1,N
IDCJAC0010,066212,2025,01,25,27.7,1,N
IDCJAC0010,066212,2025,01,26,27.4,1,N
IDCJAC0010,066212,2025,01,27,35.2,1,N
IDCJAC0010,066212,2025,01,28,41.6,1,N
IDCJAC0010,066212,2025,01,29,24.9,1,N
IDCJAC0010,066212,2025,01,30,24.7,1,N
IDCJAC0010,066212,2025,01,31,25.7,1,N
IDCJAC0010,066212,2025,02,01,27.3,1,Y
IDCJAC0010,066212,2025,02,02,28.2,1,Y
IDCJAC0010,066212,2025,02,03,30.4,1,Y
IDCJAC0010,066212,2025,02,04,31.5,1,Y
IDCJAC0010,066212,2025,02,05,32.0,1,Y
IDCJAC0010,066212,2025,02,06,28.2,1,Y
IDCJAC0010,066212,2025,02,07,31.6,1,Y
IDCJAC0010,066212,2025,02,08,30.2,1,Y
IDCJAC0010,066212,2025,02,09,28.9,1,Y
IDCJAC0010,066212,2025,02,10,25.5,1,Y
IDCJAC0010,066212,2025,02,11,27.6,1,Y
IDCJAC0010,066212,2025,02,12,27.7,1,Y
IDCJAC0010,066212,2025,02,13,29.6,1,Y
IDCJAC0010,066212,2025,02,14,26.8,1,Y
IDCJAC0010,066212,2025,02,15,28.8,1,Y
IDCJAC0010,066212,2025,02,16,22.1,1,Y
IDCJAC0010,066212,2025,02,17,23.8,1,Y
IDCJAC0010,066212,2025,02,18,27.5,1,Y
IDCJAC0010,066212,2025,02,19,26.9,1,Y
IDCJAC0010,066212,2025,02,20,23.0,1,Y
IDCJAC0010,066212,2025,02,21,24.5,1,Y
IDCJAC0010,066212,2025,02,22,28.5,1,Y
IDCJAC0010,066212,2025,02,23,30.6,1,Y
IDCJAC0010,066212,2025,02,24,27.8,1,Y
IDCJAC0010,066212,2025,02,25,23.2,1,Y
IDCJAC0010,066212,2025,02,26,29.3,1,Y
IDCJAC0010,066212,2025,02,27,30.0,1,Y
IDCJAC0010,066212,2025,02,28,36.1,1,Y
IDCJAC0010,066212,2025,03,01,30.4,1,Y
IDCJAC0010,066212,2025,03,02,27.2,1,Y
IDCJAC0010,066212,2025,03,03,24.9,1,Y
IDCJAC0010,066212,2025,03,04,26.3,1,Y
IDCJAC0010,066212,2025,03,05,26.6,1,Y
IDCJAC0010,066212,2025,03,06,26.7,1,Y
IDCJAC0010,066212,2025,03,07,26.1,1,Y
IDCJAC0010,066212,2025,03,08,25.5,1,Y
IDCJAC0010,066212,2025,03,09,28.4,1,Y
IDCJAC0010,066212,2025,03,10,27.3,1,Y
IDCJAC0010,066212,2025,03,11,23.9,1,Y
IDCJAC0010,066212,2025,03,12,27.7,1,Y
IDCJAC0010,066212,2025,03,13,31.5,1,Y
IDCJAC0010,066212,2025,03,14,34.0,1,Y
IDCJAC0010,066212,2025,03,15,34.5,1,Y
IDCJAC0010,066212,2025,03,16,37.6,1,Y
IDCJAC0010,066212,2025,03,17,21.3,1,Y
IDCJAC0010,066212,2025,03,18,24.3,1,Y
IDCJAC0010,066212,2025,03,19,29.5,1,Y
IDCJAC0010,066212,2025,03,20,30.7,1,Y
IDCJAC0010,066212,2025,03,21,29.3,1,Y
IDCJAC0010,066212,2025,03,22,26.4,1,Y
IDCJAC0010,066212,2025,03,23,22.1,1,Y
IDCJAC0010,066212,2025,03,24,25.7,1,Y
IDCJAC0010,066212,2025,03,25,26.2,1,Y
IDCJAC0010,066212,2025,03,26,27.8,1,Y
IDCJAC0010,066212,2025,03,27,26.5,1,Y
IDCJAC0010,066212,2025,03,28,26.2,1,Y
IDCJAC0010,066212,2025,03,29,21.9,1,Y
IDCJAC0010,066212,2025,03,30,24.9,1,Y
IDCJAC0010,066212,2025,03,31,24.5,1,Y
IDCJAC0010,066212,2025,04,01,23.7,1,N
IDCJAC0010,066212,2025,04,02,24.8,1,N
IDCJAC0010,066212,2025,04,03,27.5,1,N
IDCJAC0010,066212,2025,04,04,26.1,1,N
IDCJAC0010,066212,2025,04,05,26.6,1,N
IDCJAC0010,066212,2025,04,06,27.1,1,N
IDCJAC0010,066212,2025,04,07,27.4,1,N
IDCJAC0010,066212,2025,04,08,22.6,1,N
IDCJAC0010,066212,2025,04,09,23.6,1,N
IDCJAC0010,066212,2025,04,10,24.7,1,N
IDCJAC0010,066212,2025,04,11,29.6,1,N
IDCJAC0010,066212,2025,04,12,25.9,1,N
IDCJAC0010,066212,2025,04,13,26.6,1,N
IDCJAC0010,066212,2025,04,14,28.9,1,N
IDCJAC0010,066212,2025,04,15,22.9,1,N
IDCJAC0010,066212,2025,04,16,22.5,1,N
IDCJAC0010,066212,2025,04,17,24.4,1,N
IDCJAC0010,066212,2025,04,18,25.5,1,N
IDCJAC0010,066212,2025,04,19,30.7,1,N
IDCJAC0010,066212,2025,04,20,30.6,1,N
IDCJAC0010,066212,2025,04,21,28.1,1,N
IDCJAC0010,066212,2025,04,22,23.9,1,N
IDCJAC0010,066212,2025,04,23,24.2,1,N
IDCJAC0010,066212,2025,04,24,24.2,1,N
IDCJAC0010,066212,2025,04,25,23.1,1,N
IDCJAC0010,066212,2025,04,26,24.1,1,N
IDCJAC0010,066212,2025,04,27,21.4,1,N
IDCJAC0010,066212,2025,04,28,22.1,1,N
IDCJAC0010,066212,2025,04,29,24.6,1,N
IDCJAC0010,066212,2025,04,30,18.3,1,N
IDCJAC0010,066212,2025,05,01,19.5,1,N
IDCJAC0010,066212,2025,05,02,20.3,1,N
IDCJAC0010,066212,2025,05,03,22.2,1,N
IDCJAC0010,066212,2025,05,04,22.8,1,N
IDCJAC0010,066212,2025,05,05,24.9,1,N
IDCJAC0010,066212,2025,05,06,26.6,1,N
IDCJAC0010,066212,2025,05,07,27.1,1,Y
IDCJAC0010,066212,2025,05,08,19.1,1,N
IDCJAC0010,066212,2025,05,09,18.9,1,N
IDCJAC0010,066212,2025,05,10,22.3,1,N
IDCJAC0010,066212,2025,05,11,21.6,1,N
IDCJAC0010,066212,2025,05,12,21.5,1,N
IDCJAC0010,066212,2025,05,13,23.2,1,N
